ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
7136,Egypt,Humanities,Philosophy,High,"يقول "" نيوتن"" : ""أجمل النظم علي الاطلاق "" الكون"" , فلا يمكن أن ينبثق إلا عن حكمة وهيمنة خالق ""
يبرر القول السابق أحد أساليب التفكير وهو الأسلوب....",,D,العلمي,الخرافي,الابداعي,الديني,,0
7137,Egypt,Humanities,Philosophy,High," يقول "" لالالند"" : ""كل جملة من إلاشارات يمكن أن تكون وسيلة الاتصال"" .
يشير القول السابق إلي أن التفكير الانساني.",,B,تجسيد للسمات الشخصية للفرد .,تعبير لفظي رمزي,إدراك للقوانين العامة,مرتبط بالنشاط العملي .,,0
7138,Egypt,Humanities,Philosophy,High,"يقول ""إبراهيم الفقي"" : ""العاقل من يستخدم التفكير الصحيح ليتغير للأفضل في حياته المقبلة"" . يشير القول السابق إلي أن التفكير الانساني.",,B,إدراك للقوانين العامة .,مرتبط بالنشاط العملي .,مرتبط بالنشاط النظري .,يجسد السمات الشخصية للفرد .,,0
7139,Egypt,Humanities,Philosophy,High,"يقول ""جرهام بيل"" : ""لا تمشي أبدًا علي الطريق المرسوم لانه يقودك حيث ذهب آلاخرون"". يعكس القول السابق أحد عوامل الوقوع في أخطأ التفكير وهي",,B, نقص المعلومات .,الهيمنة والسيطرة .,القابلية لالستهواء .,التعصب والتطرف,,0
7140,Egypt,Humanities,Philosophy,High,رغبة الطفل في تفكيك لعبته التي أثارته بحركاتها الظاهرة وإصراره علي ذلك في محاولة الكتشاف سر هذه الموقف السابق يعطي مثالا علي أهمية التفكير الفلسفي للإلنسان في ..... ًال الحركة.,,B,تكوين فلسفة خاصة .,غرس محبة المعرفة .,تشكيل العقل والفكر.,تحليل ونقد آلاراء,,0
7141,Egypt,Humanities,Philosophy,High,"يقول ""هنري توماس"" : ""حب الحكمة كالشمس تماما بزغ نوره من الشرق ثم ما لبث أن أنتشر تجاه الغرب"" فإذا كانت الفلسفة اليونانية تتسم بالطابع النظري وفلسفة الشرق تتسم بالطابع ألاخالقي الديني؛ فإن العلاقة بينهم علاقة ......",,A,تواصل,انقطاع,تبادل,انفصال,,0
7142,Egypt,Humanities,Philosophy,High,"يقول ""جون ديوي"" : ""علي الفلسفة أن تركز اهتمامها علي إيضاح معني...يتخذ طريقة لفهم ألامراض والعلل الاجتماعية ومعالجتها"" . يعكس القول السابق وظيفتين من وظائف التفكيرالفلسفي, وهما.",,B,وصف الواقع وتفسيره .,تفسير الواقع وتغييره,وصف الواقع واستشرافه .,تبرير الواقع واستشرافه .,,0
7143,Egypt,Humanities,Philosophy,High,"قول ""ديكارت"" : ""إن اختالف آرائنا لا ينشأ عن كون بعضنا أعقل من بعض بل ينشأ عن كوننا نوجه أفكارنا الموقف السابق يعطي مثا علي أهمية التفكير الفلسفي للإنسان في .. ًال في طرق مختلفة وال نطالع الأشياء ذاتها",,D,غرس محبة المعرفة .,تشكيل العقل والفكر.,تحليل ونقد آلاراء .,تكوين فلسفة خاصة .,,0
7144,Egypt,Humanities,Philosophy,High,"يقول ""جاستاين غاردر"" : ""الفلسفة لم تكن يو ًما لعبة اجتماعية , إنها تتحدث عمن نكون ومن نحن ومن أين جئنا"". يعكس القول السابق تعريف الفلسفة من حيث هي....",,C,توجيه للسلوك,اتجاه عملي,علم كلي .,ارتقاء بالحياة,,0
7146,Egypt,Humanities,Philosophy,High,إليجاد منظومة تصلح ما أفسده اإلنسان في العقود الأخيرة لتكون البيئة أكثر إشراقً .11 سعي فالسفة البيئة حديثً لعيش الأجيال المقبلة. يشير الموقف السابق إلي أحد وظائف التفكير الفلسفي وهي..,,A,استشراف المستقبل .,تفسير الواقع,وصف الواقع,تحليل الواقع .,,0
7147,Egypt,Humanities,Philosophy,High,"كمن يظل مغمض عينيه ال يحاول أن يفتحهما "" .12 يقول ""ديكارت"" :"" إن المرء الذي يحيا دون تفلسف لهو حقً يدل قول ديكارت علي أن الفلسفة.",,C,تقاوم العقل وأحكامه .,تؤدي إلي جمود العقل .,تعطي الفرد معني للحياة .,تبحث عن العلل القريبة للظواهر,,0
7148,Egypt,Humanities,Philosophy,High,اختلفت أنا وزميلي حول موضوع ما فعارضني بمجموعة من الأدلة التي تثبت خطئي وتؤكد صواب رأيه ا لمهارة.......... فقبلت رأيه ووافقته عليه. يعد الموقف السابق تطبي,,A,التسامح,التجريد,الشك,التساؤل,,0
7150,Egypt,Humanities,Philosophy,High,"يقول ""الغزالي"" : ""فمن لم يشك لم ينظر, ومن لم ينظر لم يبصر, ومن لم يبصر بقي في العمي والضالل"" القول السابق يبرر ضرورة وأهمية الشك.....",,B,االعتيادي,المنهجي,المذهبي,االرتيابي,,0
7151,Egypt,Humanities,Philosophy,High,نجاح فني الصيانة في إعادة تشغيل جهاز التكييف بعد فحصه جزء جزء وإصالح العطل وقيامه بتجميع الأجزاء تمهيدًا لتشغيله. يمثل الموقف السابق توظيفًا لمهارة.......,,A,التحليل والتركيب,النقد المحكم .,التجريد والتعميم .,الشك والريبة .,,0
7152,Egypt,Humanities,Philosophy,High," يقول ""كريستوفر هيتشنز"" : ""ما يمكن تأكيده دون دليل يمكن نفيه دون دليل"". يعكس القول السابق ضرورة وأهمية استخدام أحد مهارات التفكير الفلسفي وهي.....",,B,التركيب,النقد,التعميم,التجريد,,0
7153,Egypt,Humanities,Philosophy,High,"يقول ""سيجموند فرويد"" : ""الانسان الاول الذي فضل قذف خصمه بكلمة بدل حجر هو المؤسس الاول للحضارة "". يعكس القول السابق أحد مهارات التفكير الفلسفي وهي.",,B,التعميم,التحليل,الحوار,التجريد,,0
7154,Egypt,Humanities,Philosophy,High,دخل زائر لمدرسة ما وسأل عدة طالب في عدة فصول فأجابوا؛ فذكر في تقريره أن جميع طالب المدرسة ا لمهارة..... مستواهم جيد. يعد الموقف السابق تطبيق,,C,التركيب,التعميم,الشك,النقد,,0
7155,Egypt,Humanities,Philosophy,High," يقول ""فولتير"" : ""أني ال أوافقك فيما تقول لكنني سأدافع عن حقك في أن تقول ما تعتقد"". يبرر القول السابق ضرورة ممارسة مهارة....",,C,التركيب,النقد,التسامح,التحليل,,0
7156,Egypt,Humanities,Philosophy,High,"كمن يظل مغمض عينيه ال يحاول أن يفتحهما "" .21 يقول ""ديكارت"" : ""إن المرء الذي يحيا دون تفلسف لهو حقً يعكس القول السابق ضرورة وأهمية استخدام أحد مهارات التفكير الفلسفي وهي......",,D,التركيب,التعميم,التسامح,النقد,,0
7157,Egypt,Humanities,Philosophy,High,"يقول ""جراهام بيل"" : ""ال تمشي أبداً على الطريق المرسوم ألنه يقودك حيث ذهب الآخرون"". يعكس القول السابق أحد خصائص التفكير الفلسفي",,D,الدقة,الدهشة,التأمل,الاستقلال,,0
7158,Egypt,Humanities,Philosophy,High,"يقول ""توماس جفرسون"" : ""عندما نتحدث عن طريقة العيش فاسبح مع التيار وعندما نتحدث عن المبادئ قف كالصخرة"". يعكس القول السابق أحد وسائل الفلسفة في تغيير المجتمع وهي....",,A,المحافظ علي المجتمع .,نقد قيم ثبت عدم صالحيتها .,غرس قيم جديدة,التنسيق بين جوانب ثقافة المجتمع .,,0
7159,Egypt,Humanities,Philosophy,High," يقول ""كانط"" : ""التنوير هو خروج الانسان من القصور الذي ارتكبه في حق نفسه من خلال عدم استعماله عقله إلا بتوجيه من إنسان آخر"". يعكس القول السابق أحد خصائص التفكير الفلسفي و هي",,B,الدهشة,الاستقلال,الدقة,التأمل,,0
7160,Egypt,Humanities,Philosophy,High," يقول ""برنراند راسل"" : ""لحظات من الخلوة تحقق لي الهدوء و التوازن والتركيز و تدفع في نفسي قوة هائلة لمواصلة الطريق"". يعكس القول السابق أحد خصائص التفكير الفلسفي هي",,B,التأمل,الدهشة,الاستقلال,الدقة,,0
7161,Egypt,Humanities,Philosophy,High," يقول ""جوزيف جوبرت"" : ""إن الهدف من الحوار والجدال مع الآخرين ليس تحقيق النصر عليهم بل دفعًا إلي التقدم"". يدعو القول السابق إلي",,B,قبول الاخر واحترامه,التواصل العقلي مع الاخر.,استبعاد الاحكام المسبقة.,الاستناد إلي الدليل العلمي.,,0
7162,Egypt,Humanities,Philosophy,High,"يقول ""علي عزت بيجوفيتش"" : ""الفن هو معرفة الخاص و الفلسفة والعلم معرفة العام"". يعكس القول السابق أحد مهارات التفكير الفلسفي هي.",,A,التعميم,التجريد,التحليل,التركيب,,0
7163,Egypt,Humanities,Philosophy,High,"يقول ""أريك فايل"" : "" الفلسفة تناقض السذاجة...إنها ال تعتقد شيئًا وال تثق في أي شيء...وهناك شيء واحد هي علي يقين تام منه هو إرادتها الخاصة في الفهم "". يعكس القول السابق أحد مهارات التفكير الفلسفي وهي...",,A,الشك,الحوار,التجريد,التعميم,,0
