ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
6923,Egypt,Social Science,Political Science,Univ,مجموعة المنظمات المستقلة عن الدولة والتي لھا أغراض خاصة مثل الدفاع عن مصالح افراد التنظیم ھو تعریف:,,A,المجتمع المدني,المجتمع الدولي,المجتمع العالمي,,,0
6924,Egypt,Social Science,Political Science,Univ,حسب الولاء یمكن تصنیف جماعات الضغط إلى: جماعات ضغط وطنیة وجماعات ضغط:,,B,داخلیة,اجنبیة,خارجیة,,,0
6925,Egypt,Social Science,Political Science,Univ,من أھم وظائف جماعات الضغط حمایة مصالح:,,C,الأغنیاء,الفقراء,الفئات التي تمثلھا,,,0
6926,Egypt,Social Science,Political Science,Univ,إذا كانت احدى السیاسات العامة تشكل خطرا ً على مصالح جماعات الضغط فأنھا تتدخل من أجل ارغام السلطات العامة على:,,A,تعدیلھا,الغاءھا,تأجیلھا,,,0
6927,Egypt,Social Science,Political Science,Univ,كلما وطدت جماعات الضغط علاقتھا مع ............ كلما زاد تأثیرھا في المجتمع,,B,الفئات التي تمثلھا,القیادة الرسمیة,المعارضة,,,0
6928,Egypt,Social Science,Political Science,Univ,من أھم الوسائل الغیر الشرعیة التي تستخدمھا جماعات الضغط في رسم السیاسة العامة:,,C,المظاھرات,الأضراب,عرقلة العمل العام,,,0
6929,Egypt,Social Science,Political Science,Univ,یتم التأثیر الغیر المباشر لجماعات الضغط على السلطة التشریعیة من خلال:,,A,إقامة علاقات مع الأحزاب,عقد اللقاءات,ارسال الرسائل,,,0
6930,Egypt,Social Science,Political Science,Univ,یتجلى تأثیر جماعات الضغط على السلطة التنفیذیة من خلال تمثیلھا في:,,B,البرلمان,المجالس الاستشاریة,الحكومة,,,0
6931,Egypt,Social Science,Political Science,Univ,من أھم الفواعل غیر رسمیة للسیاسة العامة: وسائل الاعلام و.....,,A,الجمھور,- الأحزاب,النقابات,,,0
6932,Egypt,Social Science,Political Science,Univ,من أھم صور تأثیر جماعات الضغط على السلطة القضائیة:,,B,تعطیل المحاكم,اختیار القضاه,تأخیر القوانین,,,0
6933,Egypt,Social Science,Political Science,Univ,تختلف نشاطات ووظائف جماعات الضغط فیما بینھا من جماعھ إلى أخرى حسب:,,A,الأھداف,القیادة,البیئة التي تعمل بھا,,,0
6934,Egypt,Social Science,Political Science,Univ,لأن جماعات الضغط ھي تنظیم ذات طابع غیر رسمي فھي تمارس نشاطھا بمعزل عن:,,B,الأفراد,الدولة,الاعلام,,,0
6935,Egypt,Social Science,Political Science,Univ,تختلف جماعات الضغط من مجتمع إلى آخر من حیث النفوذ ودرجة التأثیر ولكنھا تتشابھ في أسالیب الضغط المستخدمة في الدفاع عن:,,C,قیادتھا,افرادھا,مصالحھا,,,0
6936,Egypt,Social Science,Political Science,Univ,ائتلاف بین مجموعة من الافراد تضم خصائص عامة مشتركة ھو تعریف:,,A,الجماعة,اللوبي,جماعة الضغط,,,0
6937,Egypt,Social Science,Political Science,Univ,الاختلاف الأساسي بین جماعات الضغط وجماعات المصالح أن الأخیرة:,,B,لیس لھا قیاده,لا تمارس السیاسة,لیس لھا موارد,,,0
6938,Egypt,Social Science,Political Science,Univ,تنقسم جماعات المصالح:,,C,نوعین,3 أنواع,4 أنواع,,,0
6939,Egypt,Social Science,Political Science,Univ,جماعات المصلحة التي یكون أساسھا رباط جغرافي أو فكري ھي:,,A,جماعات غیر ترابطیھ,جماعات ترابطیھ,جماعات فوضویة,,,0
6940,Egypt,Social Science,Political Science,Univ,یرجع مصطلح اللوبي في اللغة الإنجلیزیة إلى مفھوم:,,C,جماعات المصالح,جماعات الضغط,مكان الانتظار,,,0
6941,Egypt,Social Science,Political Science,Univ,ارتبط مصطلح اللوبي بصفة أساسیة ب,,A,الولایات المتحدة,سرائیل,إنجلترا,,,0
6942,Egypt,Social Science,Political Science,Univ,""" الجماعة غیر رسمیھ التي تجتمع في تنظیم بقصد ممارسة الضغط على صناع القرار للدفاع عن""",,B,الحزب السیاسي,اللوبي,جماعات المصالح,,,0
6943,Egypt,Social Science,Political Science,Univ,"""تنظیم اجتماعي على المستوى الوطني أو المحلي یجتمع فیھ مجموعھ من الأفراد تستھدف الوصول إلى السلطة وممارستھا""",,C,جماعة الضغط,اللوبي,الحزب السیاسي,,,0
6944,Egypt,Social Science,Political Science,Univ,یتمیز الحزب السیاسي أنھ تنظیم:,,A,دائم,مؤقت,متغیر,,,0
6945,Egypt,Social Science,Political Science,Univ,تتعدى كل من الأحزاب السیاسیة وجماعات الضغط النطاق:,,B,العالمي,الوطني,الإقلیمي,,,0
6946,Egypt,Social Science,Political Science,Univ,اھم اختلاف بین جماعات الضغط والأحزاب السیاسیة في أن الأخیرة تسعى:,,A,للوصول للسلطة,التأثیر على الجماھیر,التأثیر على الإعلام,,,0
6947,Egypt,Social Science,Political Science,Univ,تسعى الأحزاب السیاسیة لاكتساب أكبر عدد ممكن من:,,C,وسائل الإعلام,القیادات,التأیید الشعبي,,,0
6948,Egypt,Social Science,Political Science,Univ,تحاول جماعات الضغط التأثیر في السیاسات العامة وھي:,,A,خارج السلطة,داخل السلطة,الاثنینمعا ً,,,0
6949,Egypt,Social Science,Political Science,Univ,في بعض الأحیان تقوم جماعات الضغط بتكوین حزب سیاسي:,,B,یمثلھا في الحكومة,یكون الناطق عن توجھاتھا,یمدھا بالأموال,,,0
6950,Egypt,Social Science,Political Science,Univ,یرتبط الضغط في مفھوم جماعات الضغط بالعملیات:,,C,الاجتماعیة,الاقتصادیة,السیاسیة,,,0
6951,Egypt,Social Science,Political Science,Univ,تتحول ............. الىالمعارضة إذا فشلت في الانتخابات,,A,الأحزاب السیاسیة,جماعات المصالح,جماعات الضغط,,,0
6952,Egypt,Social Science,Political Science,Univ,إن درجة تعقد وتطور جماعات الضغط تتوقف على درجھ تطور وتعقد:,,B,الدولة,المجتمع,القیادة,,,0
6953,Egypt,Social Science,Political Science,Univ,یمكن القول: إن العلاقات الدولیة تشتمل على:,,A,السیاسة الدولیة.,الأحزاب السیاسیة,الفكر السیاسي.,كل ما سبق ذكره صحصح.,,0
6954,Egypt,Social Science,Political Science,Univ,تتحدد مجموعة المؤسسات التي تتوزع بینھا آلیة التقریر السیاسي في:,,B,النظم السیاسیة.,النظام السیاسي.,الشئون الدولیة.,السلطة التنفیذیة.,,0
6955,Egypt,Social Science,Political Science,Univ,یمكن القول: إن فروع العلاقات الدولیة الرئیسیة ھي:,,D,السیاسة الدولیة.,التنظیم الدولي.,القانون الدولي.,كل ما سبق ذكره صحیح.,,0
