ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
0,,Humanities,Islamic Studies,,كم عدد سور القرآن الكريم؟,,D,111,112,113,114,,0
1,,Humanities,Islamic Studies,,في أي الأيام خلق سيدنا آدم عليه السلام؟,,D,يوم السبت,يوم الاثنين,يوم الأربعاء,يوم الجمعة,,0
2,,Humanities,Islamic Studies,,كم عدد السنوات التي نام فيها أهل الكهف؟,,B,300 سنة,309 سنوات,400 سنة,409 سنوات,,0
3,,Humanities,Islamic Studies,,اسم أول صحابي قرأ القرآن جهرة؟,,A,عبد الله بن مسعود,عبد الله بن عباس,عبد الله بن عمرو بن العاص,عبد الله بن الزبير,,0
4,,Humanities,Islamic Studies,,من هي أخر زوجات النبي التي توفيت؟,,C,السيدة زينب بنت جحش,السيدة عائشة بنت أبي بكر,السيدة أم سلمة,السيدة سودة بنت زمعة,,0
5,,Humanities,Islamic Studies,,سورة قصيرة من قرأها ثلاثا فكأنما قرأ كل القرآن؟,,C,سورة الناس,سورة الفلق,سورة الإخلاص,سورة الفاتحة,,0
6,,Humanities,Islamic Studies,,كم مرة حج محمد رسول الله عليه الصلاة والسلام؟,,A,مرة واحدة,مرتين,ثلاث مرات,أربع مرات,,0
7,,Humanities,Islamic Studies,,ما هي غزوة الفرقان؟,,A,غزوة بدر,غزوة أحد,غزوة الخندق,غزوة الطائف,,0
8,,Humanities,Islamic Studies,,ما هي السورة التي تسمى بقلب القرآن؟,,C,سورة الفاتحة,سورة البقرة,سورة يس,سورة الرحمن,,0
9,,Humanities,Islamic Studies,,في أي عام تم فرض فريضة الصيام؟,,B,العام الأول من الهجرة,العام الثاني من الهجرة,العام الثالث من الهجرة,العام الرابع من الهجرة,,0
10,,Humanities,Islamic Studies,,كم كان عمر النبي محمد صلى الله عليه وسلم عندما توفيت أمه؟,,C,3 سنوات,4 سنوات,5 سنوات,6 سنوات,,0
11,,Humanities,Islamic Studies,,ما هي أطول سورة في القرآن الكريم؟,,A,سورة البقرة,سورة آل عمران,سورة النساء,سورة المائدة,,0
12,,Humanities,Islamic Studies,,الشهر الثالث في التقويم الهجري؟,,B,شعبان,ربيع الأول,جمادى الآخرة,ذو القعدة,,0
13,,Humanities,Islamic Studies,,ما السورة التي ختمت باسم وقت من أوقات الصلاة؟,,A,سورة القدر,سورة البلد,سورة الأعلى,سورة الفجر,,0
14,,Humanities,Islamic Studies,,كم عدد التكبيرات في الركعة الأولى في صلاة العيد؟,,B,ستة,سبعة,تسعة,خمسة,,0
15,,Humanities,Islamic Studies,,في أي جهة يقع باب الكعبة المشرفة؟,,D,في الجهة الغربية من الكعبة,في الجهة الجنوبية من الكعبة,في الجهة الشمالية من الكعبة,في الجهة الشرقية من الكعبة,,0
16,,Humanities,Islamic Studies,,كم عدد مصارف الزكاة؟,,A,ثمانية,خمسة,سبعة,تسعة,,0
17,,Humanities,Islamic Studies,,كم مرة ذكرت السيدة مريم في القرآن الكريم؟,,D,43 مرة,55 مرة,42 مرة,34 مرة,,0
18,,Humanities,Islamic Studies,,قال تعالى في سورة العاديات: ( فالمغيرات صبحا (3)) ماالمقصود بالمغيرات؟,,D,الرياح الشديدة,الابل,الملائكة السابحين,الخيل,,0
19,,Humanities,Islamic Studies,,ما هي أعظم آية في القرآن الكريم؟,,A,آية الكرسي,آخر آية من سورة الكهف,آخر آية من سورة البقرة,أول آية من سورة البقرة,,0
20,,Humanities,Islamic Studies,,أحد هؤلاء الصحابة من العشرة المبشرين بالجنة؟,,C,سلمان الفارسي,عقيل بن أبي طالب,سعد بن أبي وقاص,الأشعث بن قيس,,0
21,,Humanities,Islamic Studies,,في أي سنة هجرية كانت غزوة أحد؟,,A,السنة الثالثة للهجرة,السنة الرابعة للهجرة,السنة الخامسة للهجرة,السنة السادسة للهجرة,,0
22,,Humanities,Islamic Studies,,من هي النصرانية التي أسلمت ثم تزوجها النبي صلى الله عليه وسلم؟,,D,جويرية بنت الحارث,ميمونة,سودة بنت زمعة,مارية القبطية,,0
23,,Humanities,Islamic Studies,,من هو النبي الذي أرسل الى قوم ثمود؟,,A,صالح,هود,نوح,شعيب,,0
24,,Humanities,Islamic Studies,,ما عدد أحزاب القرآن الكريم؟,,D,50 حزبا,40 حزبا,30 حزبا,60 حزبا,,0
25,,Humanities,Islamic Studies,,قال تعالى في سورة المدثر: (والرجز فاهجر (5)) ما المقصود بالرجز؟,,B,الكذب,الأوثان,الجدال,النوم,,0
26,,Humanities,Islamic Studies,,قال تعالى: (والصافات صفا * فالزاجرات زجرا) ما المقصود بالزاجرات؟,,A,الملائكة,الرياح,الغمام,السحاب,,0
28,,Humanities,Islamic Studies,,ما اسم السورة التي تنتهي آياتها بحرف السين؟,,C,الفلق,الصمد,الناس,الضحى,,0
29,,Humanities,Islamic Studies,,كم عدد السور التي ابتدأت بالحروف المقطعة (الم)؟,,D,أربعة سور,ثلاث سور,خمس سور,ستة سور,,0
30,,Humanities,Islamic Studies,,ما هو عدد حملة العرش يوم القيامة والمذكورين في القرآن الكريم؟,,C,سبعة,ستة,ثمانية,تسعة,,0
31,,Humanities,Islamic Studies,,أين ذكرت الآية الكريمة: ( وما آتاكم الرسول فخذوه وما نهاكم عنه فانتهوا)؟,,A,سورة الحشر,سورة الصف,سورة الجمعة,سورة الواقعة,,0
32,,Humanities,Islamic Studies,,ما هي السورة التي يطلق عليها أم الكتاب؟,,D,سورة محمد,سورة البقرة,سورة يس,سورة الفاتحة,,0
33,,Humanities,Islamic Studies,,كم شخص اشترك في قتل ناقة النبي صالح عليه السلام؟,,A,تسعة أشخاص,خمسة أشخاص,عشرة أشخاص,ثمانية أشخاص,,0
34,,Humanities,Islamic Studies,,من الذي لقب الرسول الكريم بالطيب المطيب؟,,D,زيد بن حارثة,أسامة بن زيد,أنس بن مالك,عمار بن ياسر,,0
35,,Humanities,Islamic Studies,,في أي سورة وردت الآية: (يمحق الله الربا ويربي الصدقات والله لا يحب كل كفار أثيم)؟,,B,المائدة,البقرة,آل عمران,هود,,0
36,,Humanities,Islamic Studies,,في أي سورة وردت الآية التالية (ولبثوا في كهفهم ثلاث مئة سنين وازدادوا تسعا)؟,,A,سورة الكهف,سورة فصلت,سورة مريم,سورة غافر,,0
37,,Humanities,Islamic Studies,,من هو النبي الذي دعا ربه (توفني مسلما وألحقني بالصالحين)؟يعقوب عليه السلام,,B,يعقوب عليه السلام,يوسف عليه السلام,صالح عليه السلام,ابراهيم عليه السلام,,0
38,,Humanities,Islamic Studies,,ما هي الرادفة؟,,C,يوم القيامة,النفخة الأولى في البوق,النفخة الثانية في البوق,انشقاق الأرض,,0
39,,Humanities,Islamic Studies,,السورة التي ابتدأت بالحرفين المقطعين (طس)؟,,D,سورة الحجر,سورة الرعد,سورة الأعراف,سورة النمل,,0
40,,Humanities,Islamic Studies,,ما هي السورة التي تسمى سورة التوديع؟,,C,سورة الزلزلة,سورة الحج,سورة النصر,سورة الفيل,,0
41,,Humanities,Islamic Studies,,الشهر الثامن في التقويم الهجري؟,,A,شعبان,ذو الحجة,محرم,شوال,,0
42,,Humanities,Islamic Studies,,كم عدد السور التي افتتحت بثلاثة أحرف؟,,D,16 سورة,15 سورة,14 سورة,13 سورة,,0
43,,Humanities,Islamic Studies,,كم عدد آيات سورة البقرة؟,,A,286 آية,280 آية,277 آية,298 آية,,0
44,,Humanities,Islamic Studies,,من أسماء الخيل التي ذكرت في القرآن الكريم؟,,D,الزاجرات,النازعات,الذاريات,العاديات,,0
45,,Humanities,Islamic Studies,,كم عدد القراءات الصحيحة للقرآن الكريم؟,,D,7 قراءات,8 قراءات,9 قراءات,10 قراءات,,0
46,,Humanities,Islamic Studies,,كم مرة اعتمر النبي صلى الله عليه وسلم؟,,A,أربع عمرات,عمرة واحدة,خمس عمرات,سبع عمرات,,0
47,,Humanities,Islamic Studies,,ما اسم أخو يوسف عليه السلام من أمه وأبيه؟,,B,روأبين,بنيامين,يهوذا,يوشع,,0
48,,Humanities,Islamic Studies,,قام أحدهم بمبادلة صاع من القمح الجيد بصاعين من القمح الرديء لشخص آخر ما حكم هذه المبادلة؟,,C,جائزة,مضاربة,ربا الفضل,ربا النسيئة,,0
49,,Humanities,Islamic Studies,,في أي عام هجري وقعت غزوة خيبر؟,,D,10 هجري,5 هجري,9 هجري,7 هجري,,0
50,,Humanities,Islamic Studies,,كم عدد الأنبياء الذين ذكروا في سورة الأنبياء؟,,C,18 نبي,19 نبي,16 نبي,25 نبي,,0
51,,Humanities,Islamic Studies,,ما هو الاسم الذي يطلق على الزيادة في الدين نظير الأجل أو الزيادة فيه؟,,A,ربا النسيئة,ربا الفضل,مضاربة مشروعة,ربا المال,,0
52,,Humanities,Islamic Studies,,ما هي السورة التي لا تبدأ بالبسملة؟,,D,النحل,النمل,الاسراء,التوبة,,0
