ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
7809,Jordan,Social Science,Geography,Primary,…………   العلم الذي يصف سطح الأرض وما عليها من معالم طبيعية وبشرية.  ,,B,علم الأرض ,علم الجغرافيا ,علم التاريخ ,علم التكنولوجيا ,,0
7810,Jordan,Social Science,Geography,Primary,من المظاهر البشرية للمكان.  ,,C,الجبال والهضاب ,المحيطات والبحار ,الحضارة والإنشاءات  ,المناخ والتربة ,,0
7811,Jordan,Social Science,Geography,Primary,أول خريطة اعتمدت القياس والاتجاه ؟ ,,A,مابين النهرين دجلة والفرات  ,بابل,عمان,جرش,,0
7812,Jordan,Social Science,Geography,Primary,………. صور تلتقط بواسطة الكاميرات المثبتة بالطائرات.  ,,B,الصور الفوتوغرافية ,الصور الجوية ,الصور الفضائية  ,الصور المصممة  ,,0
7813,Jordan,Social Science,Geography,Primary,ما العنصر الرئيسي الذي تظهره الخرائط الكنتورية ؟ ,,C,الطول,الحجم,الارتفاع,العرض,,0
7814,Jordan,Social Science,Geography,Primary,الإتجاه الذي يظهر على الخرائط غالبا ….. ,,D,الشرق,الغرب,الجنوب,الشمال,,0
7815,Jordan,Social Science,Geography,Primary,يستخدم ل توضيح دلالات الرموز والألوان المستخدمة.  ,,D,عنوان الخريطة ,مؤشر الرسم ,مؤشر الاتجاهات ,دليل الخريطة ,,0
7816,Jordan,Social Science,Geography,Primary,يظهر مقياس الخريطة …….. على النحو الآتي : ا سم = ٢٥٠ كم.  ,,C,النسبي,الخطي,الكتابي,الموضوعي ,,0
7817,Jordan,Social Science,Geography,Primary,تعد …….. أداة مهمة في الخرائط الموضوعية.  ,,C,الدلائل ,الرموز,الألوان ,الرسوم ,,0
7818,Jordan,Social Science,Geography,Primary,يقع الوطن العربي في ……. قارة آسيا وأفريقيا.  ,,B,جنوب شرق ,جنوب غرب ,شمال شرق ,شمال غرب ,,0
7819,Jordan,Social Science,Geography,Primary,تقع مدينة عمان على طول خط ……. شرقا ، ودائرة عرض …..شمالا.,,B,  ٣٣ ، ٣٤, ٣٢ ، ٣٥,  ٣٠ ، ٣٦, ٣٣ ، ٤٣,,0
7820,Jordan,Social Science,Geography,Primary,كم يبلغ عدد مناطق التوقيت الزمني على الكرة الأرضية ؟ ,,B,٢٣ منطقة ,٢٤ منطقة  ,٢٥ منطقة ,٢٦ منطقة  ,,0
7821,Jordan,Social Science,Geography,Primary,أين تم اعتماد نظام التوقيت العالمي ؟ ,,C,لندن,عمان,واشنطن ,لبنان ,,0
7822,Jordan,Social Science,Geography,Primary,إذا وقع مكان ما إلى ……. من خط غرينتش ، فإنه يتم إضافة ساعة لكل منطقة زمنية.  ,,A,الشرق,الغرب,الشمال,الجنوب,,0
7823,Jordan,Social Science,Geography,Primary,………. تطابق خَطَا الطول ١٨٠ شرقا ، و ١٨٠ غربا.  ,,D,دوائر العرض ,خطوط الطول ,خط غرينتش ,خط التاريخ الدولي  ,,0
7824,Jordan,Social Science,Geography,Primary,أي من التالي لا يشكل العوامل  الداخلية في تكوين أشكال سطح الأرض ؟ ,,D,البراكين,الزلازل,الالتواءات,الحرارة,,0
7825,Jordan,Social Science,Geography,Primary,……… تغير يصيب الصخور والمعادن المكونة لها بفعل مجموعة من العوامل الطبيعية.  ,,B,البراكين,التجوية,الزلازل,التعرية,,0
7826,Jordan,Social Science,Geography,Primary,أثر عملية التجوية في المناطق المنبسطة.  ,,A,زيادة سمك التربة ,انجراف التربة  ,وفرة المياه ,نقلها من مكان تكوينها إلى أمكنة أخرى ,,0
7827,Jordan,Social Science,Geography,Primary,يصب نهر النيل في …..  ,,C,البحر الأحمر ,السواحل الشرقية لعمان ,البحر الأبيض المتوسط ,البحر الميت ,,0
7828,Jordan,Social Science,Geography,Primary,……… شكل أرضي ينشأ بفعل الرسوبيات التي يحملها النهر إلى مصبه.  ,,C,السهول,التعرجات,الدلتا,الموائد الصحراوية ,,0
