ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
7444,Palestine,STEM,Computer Science,High,خانة أو عدة خانات مجتمعة بشكل عمودي متشابهة في نوع البيانات,,B,الخلية,الحقل,السجل,الجدول,,0
7445,Palestine,STEM,Computer Science,High,السجلات أو الصفوف تكون ...... في نوع البيانات,,A,مختلفة,متشابهة,متطابقة,لا شيء مما ذكر,,0
7446,Palestine,STEM,Computer Science,High,دالة تستخدم لحساب المتوسط الحسابي لنطاق معين من الخلايا,,C,SUM,MAX,AVERAGE,MIN,,0
7447,Palestine,STEM,Computer Science,High,من مجالات استخدام الجداول الإلكترونية جميع ما يلي ما عدا,,D, أعمال المحاسبة,التحليل الإحصائي,أرشفة البيانات,التصميم,,0
7448,Palestine,STEM,Computer Science,High,تحتاج إلى حيز مكاني واسع لحفظ المعلومات,,B,الأرشفة المحوسبة,الأرشفة التقليدية,الأرشفة الإلكترونية,الوسائط المحوسبة,,0
7449,Palestine,STEM,Computer Science,High,من التقنيات الحديثة المستخدمة في تخزين المعلومات,,D,QR,Barcode,PDF,أ+ب,,0
7450,Palestine,STEM,Computer Science,High,من استخدامات قواعد البيانات,,D,التوثيق,التحليل,اتخاذ القرار,جميع ما ذكر,,0
7451,Palestine,STEM,Computer Science,High,مشاكل استخدام الجداول الإلكترونية في تخزين البيانات جميع ما يلي ما عدا,,D,مشكلة التكرار,صعوبة التعديل,وقوع أخطاء منطقية,سرية وأمان عالية,,0
7452,Palestine,STEM,Computer Science,High,حقل فريد لا تتكرر قيمته,,A,المفتاح الأساسي,المفتاح المركب,المفتاح الموحد,المفتاح الأجنبي,,0
7453,Palestine,STEM,Computer Science,High,جميع ما يلي يمكن أن يمثل مفتاح أساسي ما عدا,,D,رقم الهوية,رقم الجلوس,رقم الطالب,الفرع,,0
7454,Palestine,STEM,Computer Science,High,نوع العلاقة بين الطلاب والمدرسة,,B,واحد لواحد,واحد لمتعدد,متعدد لمتعدد,ليس مما ذكر,,0
7455,Palestine,STEM,Computer Science,High,مثال على علاقة واحد لـ واحد,,D,المبحث والطالب,المكتبة والطالب,المشرف والمدرسة,المدير والمدرسة,,0
7456,Palestine,STEM,Computer Science,High,من برامج إدارة قواعد البيانات العلائقية,,D,ACCESS,VISO,ORACLE,أ+ج,,0
7457,Palestine,STEM,Computer Science,High,جميع ما يلي من أنواع حقول البيانات في الحقول ما عدا,,C,ترقيم تلقائي,العملة,المعدل, تاریخ / وقت,,0
7458,Palestine,STEM,Computer Science,High,جميع ما يلي من فوائد استخدام النماذج في قواعد البيانات ما عدا,,C,معالجة البيانات,ادخال البيانات,تحديد نوع البيانات,استعراض البيانات,,0
7459,Palestine,STEM,Computer Science,High,المكون الأساسي لقواعد البيانات,,A,الجداول ,الاستعلامات,النماذج ,التقارير,,0
7460,Palestine,STEM,Computer Science,High,من التطبيقات الحديثة لقواعد البيانات,,D,الذكاء الاصطناعي,التجارة الإلكترونية,محركات البحث,جميع ما ذكر,,0
7461,Palestine,STEM,Computer Science,High,صاحب كتاب الفهرست,,C,ابن بطوطة,ابن سينا,ابن النديم, ابن خلدون,,0
7462,Palestine,STEM,Computer Science,High,لبناء قاعدة بيانات متماسكة نقوم بإنشاء روابط منطقية بين الجداول.,,A,صح,خطأ,,,,0
7463,Palestine,STEM,Computer Science,High,تستهلك الأرشفة التقليدية وقتاً في عملية البحث.,,A,صح,خطأ,,,,0
7464,Palestine,STEM,Computer Science,High,يمثل رقم الجلوس و بصمة الأصبع والاسم مفتاح أساسي في الجدول.,,B,صح,خطأ,,,,0
7465,Palestine,STEM,Computer Science,High,يجب أن يكون لكل جدول مفتاح أساسي.,,A,صح,خطأ,,,,0
7466,Palestine,STEM,Computer Science,High,تحتفظ المؤسسات بنسخ ورقية عند تنفيذ أي معاملة برغم من تخزينها إلكترونياً.,,A,صح,خطأ,,,,0
7467,Palestine,STEM,Computer Science,High,من أنواع البيانات في قاعدة البيانات العملة - الرقم - مذكرة - ارتباط تشعيبي.,,A,صح,خطأ,,,,0
7468,Palestine,STEM,Computer Science,High,أدى مد الكوابل البحرية إلى ازدهار التجارة والصناعة بين الدول.,,A,صح,خطأ,,,,0
7469,Palestine,STEM,Computer Science,High,كل هاتف يتصل بأكثر من خط مع المقسم.,,B,صح,خطأ,,,,0
7470,Palestine,STEM,Computer Science,High, تستخدم تقنية WIFI مع شبكات الحاسوب الشخصية PAN,,A,صح,خطأ,,,,0
7471,Palestine,STEM,Computer Science,High,يمكن لشبكة LAN خدمة منطقة جغرافية لكامل الدولة.,,B,صح,خطأ,,,,0
7472,Palestine,STEM,Computer Science,High,من بروتوكولات WAN الخط المشترك الرقمي DSL,,A,صح,خطأ,,,,0
7473,Palestine,STEM,Computer Science,High,الحزمة Packets هي وحدة البيانات في الطبقة الثالثة.,,A,صح,خطأ,,,,0
7474,Palestine,STEM,Computer Science,High,الطبقة الرابعة في نموذج OSI هي طبقة الجلسة.,,B,صح,خطأ,,,,0
7475,Palestine,STEM,Computer Science,High,بروتوكول Ftp - Http تستخدم في طبقة التطبيقات.,,A,صح,خطأ,,,,0
7476,Palestine,STEM,Computer Science,High,التلفاز والراديو من أمثلة اسلوب الاتصال ثنائي الاتجاه المتزامن.,,B,صح,خطأ,,,,0
7478,Palestine,STEM,Computer Science,High,يتم تقطيع البيانات وإعادة تجميعها في الطبقة الرابعة.,,A,صح,خطأ,,,,0
7479,Palestine,STEM,Computer Science,High,لربط جهازي حاسوب بشكل مباشر نستخدم الكابل المتناظر.,,B,صح,خطأ,,,,0
7480,Palestine,STEM,Computer Science,High,لصنع كابل متعاكس نوصل طرفي الكابل بنفس المعيار وترتيب الأسلاك متطابق.,,B,صح,خطأ,,,,0
7481,Palestine,STEM,Computer Science,High,نقل البيانات بالألياف الضوئية سريع و آمن جدا.,,A,صح,خطأ,,,,0
7482,Palestine,STEM,Computer Science,High,عام 1844 م نجح العالم مورس باختراع جهاز,,B,المقسم اليدوي,التلغراف,الهاتف,المقسم الالي,,0
7483,Palestine,STEM,Computer Science,High,مخترع أول هاتف بسيط هو,,C, أديسون,مورس,الكسندر بيل,تسلا,,0
7484,Palestine,STEM,Computer Science,High,تقوم بتحويل الإشارات الكهربائية إلى موجات صوتية,,D,الميكروفون ,البطارية ,السلك النحاسي,السماعة ,,0
7485,Palestine,STEM,Computer Science,High,أجهزة تقوم بتوصيل المكالمات بين المستخدمين دون تدخل بشري,,B,الموزع ,المقسم الالي,المقسم اليدوي,السنترال ,,0
7486,Palestine,STEM,Computer Science,High,من التقنيات المستخدمة في شبكة الحاسوب المحلية LAN,,B,البلوتوث,الايثرنت,الانترنت,لا شيء مما ذكر,,0
7487,Palestine,STEM,Computer Science,High,تستخدم تقنية البلوتوث في شبكة,,A,PAN,LAN,WAN,WLAN,,0
7488,Palestine,STEM,Computer Science,High,اختصار النموذج المرجعي للاتصال بين الأجهزة,,C,SOI,IOS,OSI,SIO,,0
7489,Palestine,STEM,Computer Science,High,وحدة البيانات في الطبقة الفيزيائية,,B,الاطار,البت,الحزمة,القطعة,,0
7490,Palestine,STEM,Computer Science,High,طبقة تقوم بتنظيم عملية الإرسال لضمان عدم تداخل الإشارات,,B,الفيزيائية ,ربط البيانات,الشبكة,النقل,,0
7491,Palestine,STEM,Computer Science,High, الطبقة التي عمل على اختيار أفضل طريق يمكن أن تسلكه البيانات,,A,الشبكة,النقل,الجلسة,القطعة,,0
7492,Palestine,STEM,Computer Science,High,نظام العنونة IPV6 يستخدم النظام,,B,الثنائي,الثماني,العشري,السادس عشر,,0
7493,Palestine,STEM,Computer Science,High,وحدة البيانات في طبقة النقل,,C,الإطار,الحزمة,القطعة,البيانات,,0
7494,Palestine,STEM,Computer Science,High,طبقة وظيفتها فتح وغلق ومراقبة الجلسة بين المرسل والمستقبل,,C,الشبكة,النقل,الجلسة,القطعة,,0
7495,Palestine,STEM,Computer Science,High,البروتوكولات JPG - GIF - MDS توجد في الطبقة,,C,الاولى,الثالثة,السادسة,السابعة,,0
7496,Palestine,STEM,Computer Science,High,من الأمثلة على الاتصال أحادي الاتجاه Simplex,,D,الراديو,التلفاز,اضغط للتكلم,أ+ب,,0
7497,Palestine,STEM,Computer Science,High,نظام أجهزة اضغط للتكلم Push to Talk تستخدم النظام,,C, أحادي الاتجاه ,ثنائي الاتجاه المتزامن, ثنائي الاتجاه الغير متزامن,النقل الحر,,0
7498,Palestine,STEM,Computer Science,High,نظام الاتصال الهاتفي يستخدم نظام,,B,أحادي الاتجاه,ثنائي الاتجاه المتزامن, ثنائي الاتجاه الغير متزامن,النقل التشاركي,,0
7499,Palestine,STEM,Computer Science,High, نموذج يتم فيه ربط أجهزة الحاسوب بشكل متسلسل عن طريق السلك المحوري,,A,مخطط الشبكة الناقل,مخطط الشبكة النجمي,مخطط الشبكي الفردي,مخطط الشبكي التتابعي,,0
7500,Palestine,STEM,Computer Science,High,في الكابل المزدوج المجدول الغير محمي UTP نستخدم السلكين ....... لإرسال البيانات.,,A,2024-01-02 00:00:00,2024-05-02 00:00:00,3 – 6,4 – 8,,0
7501,Palestine,STEM,Computer Science,High,يحول الإشارة الكهربائية إلى إشارة ضوئية,,A,Tx,Xt,Sx,Rx,,0
7502,Palestine,STEM,Computer Science,High,يتم فيها نقل المعلومات لمسافات طويلة دون الحاجة لتقويه,,D,الكوابل المحورية,الكوابل المجدولة,أمواج الميكروويف,الألياف الضوئية,,0
7604,Jordan,STEM,Computer Science,High,لتمثيل البوابة المنطقية AND باستخدام دارة كهربائية فإنه يلزم:,,C,مفتاح توصيل واحد,مفتاحي توصيل في وضعية التوازي,مفتاحي توصيل في وضعية التوالي, ثلاثة مفاتيح توصيل في وضعية التوازي,,0
7605,Jordan,STEM,Computer Science,High,عدد خطوات حل العبارة المنطقية A= NOT B AND (NOT C AND NOT D)AND Fبعد تعويض قيم المتغيرات هو:,,D,4,3,5,6,,0
7606,Jordan,STEM,Computer Science,High,"هي ثابت منطقي (0,1) أو متغير منطقي مثل (Y,X) أو مزيج من الثوابت والمتغيرات المنطقية يجمع بينها عمليات منطقية:",,C,شجرة البحث,البوابة المنطقية,العبارة الجبرية المنطقية,جدول الحقيقة,,0
7607,Jordan,STEM,Computer Science,High,عدد الإحتمالات التي يحتويها جدول الحقيقة للعبارة المنطقية X= A AND (B OR NOT 1)OR B يساوي:,,B,2^3,2^2,3^2,3^3,,0
7608,Jordan,STEM,Computer Science,High,"جميع العبارات المنطقية الآتية يكون ناتجها 1 عندما: :=d=1, 0=C, 1=B, 0=A، ما عدا: ",,D,NOT(A OR NOT C) AND NOT B OR D,(NOT A OR B) AND NOT(C OR NOT D),) A AND C) OR B)OR NOT C AND D,NOT(NOT B AND NOT C) AND A AND D,,0
7609,Jordan,STEM,Computer Science,High,عدد البوابات المنطقية في العبارة المنطقية الآتية: X= NOT A NOR B NOR NOT C NOR NOT(C NOR D) ,,A,7,5,3,4,,0
7610,Jordan,STEM,Computer Science,High,عدد المتغيرات المنطقية في العبارة المنطقية الآتية X= NOT (A AND B AND NOT C)AND D OR NOT D,,B,7,4,5,6,,0
7611,Jordan,STEM,Computer Science,High,تتشكل بوابة NAND بتوصيل:,,D,مدخل بوابة AND بمدخل بوابةNOT,مخرج بوابة AND بمدخل بوابة OR,مخرج بوابة NOT بمدخل بوابة AND,مخرج بوابة AND بمدخل بوابة NOT,,0
7612,Jordan,STEM,Computer Science,High,بوابة منطقية تعطي مخرجاً قيمته 0 إذا كان أحد المداخل 1 أو كلاهما :,,A,NOR,OR,NAND,AND,,0
7613,Jordan,STEM,Computer Science,High,تسمى البوابة المنطقية NAND ب:,,B,"""و"" المنطقية","نفي ""و"" المنطقية","""أو"" المنطقية","نفي ""أو"" المنطقية",,0
7614,Jordan,STEM,Computer Science,High,إحدى الجمل الآتية خاطئة فيما يتعلق ب AND:,,D,لها مدخلين ومخرج واحد,عكس مخرجات NAND,من البوابات الأساسية,"تسمى ""أو"" المنطقية",,0
7615,Jordan,STEM,Computer Science,High,من الأمثلة الصحيحة على عبارة جبرية منطقية:,,C,X,A AND NOT B,A+B,A AND C,,0
7616,Jordan,STEM,Computer Science,High,عند كتابة العبارة المنطقية التي تمثلها البوابات المنطقية، يجب البدء من:,,B,اليمين لليسار,اليسار لليمين,الأعلى للأسفل,الأسفل للأعلى,,0
7617,Jordan,STEM,Computer Science,High,بوابة منطقية أساسية تعطي مخرجا قيمته 1  إذاكان أي من المدخلين 1 أو كلاهما :1,,A,OR,NOT,AND,NOR,,0
