ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
1856,,STEM,Natural Science,Middle,أي من التالي من العمليات الحيوية للجسم؟,,D,المكان ( المأوى),الغذاء.,الهواء.,النمو.,,0
1857,,STEM,Natural Science,Middle,ما المصلح العلمي للحيوانات التي تتغذى على لحوم الكائنات الحية الأخرى ولا يمكنها أكل النبات؟,,C,حيوانات آكلة اللحوم ونباتات .,المحللات,آكلات اللحوم.,آكلة الأعشاب .,,0
1858,,STEM,Natural Science,Middle,ا العملية التي تتأثر بالعوامل : الحرارة و مساحة السطح ؟,,D,الغليان.,التجمد.,التكاثئف.,التبخر.,,0
1859,,STEM,Natural Science,Middle,من الأمثلة على التفريغ الكهربائي؟,,C,انجذاب قصاصات الورق للمسطرة بعد دلكها.,ابتعاد بالونين عن بعضهما البعض بعد دلكهما.,. ‏الشعور بلسعة كهربائية خفيفة عند لمس المقبض المعدني للباب‎,التصاق البالون على الحائط.,,0
1860,,STEM,Natural Science,Middle,ما نوع القوة الناتجة عن حركة جسم بالماء؟,,B,قوة مغناطيسية.,قوة مقاومة الماء.,قوة الوزن.,قوة مقاومة الهواء .,,0
1861,,STEM,Natural Science,Middle,ما هي الفئة العمرية التي تحتاج لكمية أكبر من المواد اللازمة لبناء خلايا جديدة وسعرات حرارية؟,,B,مرحلة الشباب.,مرحلة الطفولة.,مرحلة الشيخوخة .,مرحلة المراهقة.,,0
1862,,STEM,Natural Science,Middle,ما تصنيف صفة لون البشرة في الإنسان؟,,A,تنوع غير مكتسب.,تكيف مع البيئة.,السمات والطبائع.,تنوع مكتسب.,,0
1863,,STEM,Natural Science,Middle,ماذا تسمى المواد التي مصدرها غير طبيعي؟,,C,طبيعي >> صفة,هش,اصطناعي,مرن,,0
1864,,STEM,Natural Science,Middle,أي طبقات التربة التالية من خصائصها تخزين الماء وعدم تسريبه؟,,D,الطبقة السطحية.,١ جميع الطبقات.,الطبقة تحت السطحية.,الطبقة الصخرية.,,0
1865,,STEM,Natural Science,Middle,مااهي المسامية؟,,B,مقاومة الصخر للخدش.,مجموعة الفجوات الموجودة بين الحبيبات المكونة للصخر.,الخاصية التي تصف ملمس الصخر.,وصف لحبيبات الصخر وحجمها.,,0
1866,,STEM,Natural Science,Middle,أي من الصفات التالية تتميز بها الثدييات عن غيرها من الفقاريات؟,,A,تنتج الحليب,زوج عيون,ذيل قصير,أربع أرجل,,0
1867,,STEM,Natural Science,Middle,ما العملية الحيوية التي تفسر صعود الحوت إلى سطح الماء ؟,,D,التكاثر,الإخراج,النمو,التنفس,,0
