ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
7255,KSA,STEM,Computer Science,Univ,إحدى الطرق التالية  ال تشكل تهديداً من المستخدم على أمن الشبكة:,,B,الكشف عن معلومات الدخول,فتح ملف مباشرة من البريد االلكتروني بعد فحصه,ترك الجهاز مفتوح في محطة العمل دون العناية به,تركيب برامج غير مرخصة,,0
7256,KSA,STEM,Computer Science,Univ,ما هو  جهاز الكمبيوتر الاقل تكلفة من بين الاجهزة التالية:,,D,جهاز الكمبيوتر الشخصي,جهاز الكمبيوتر الصغير,جهاز الكمبيوتر الشخصي المحمول,كمبيوتر شبكة االتصال,,0
7257,KSA,STEM,Computer Science,Univ,اولمراحل دورة حياة النظام هي :,,A,تحليل المتطلبات,التشغيل والصيانة,تصميم البرامج والنظام,التطبيق واالختبار,,0
7258,KSA,STEM,Computer Science,Univ,ما هي ذاكرة الوصول العشوائي,,A,هي الذاكرة التي تخزنبها البيانات التي يحتاجها الكمبيوتر أثناء فترة تشغيله,هي الذاكرة التي تخزن بها البيانات التي تعالج من قبل الكمبيوتر,"هو المكان الذي نستخدمه لتخزين البيانات التي نتعامل معها دائماً , كما تستخدم لنقل البيانات من مكان آلخر",هي ذاكرة دائماً يحتاجها الكمبيوتر طول  فترة التشغيل وهي خاصة بنقل بيانات بطاقات الصوت والفيديو والشبكة,,0
7259,KSA,STEM,Computer Science,Univ,الغيغابايت يساوي,,C,10 ميغابايت,1000 ميغابايت,1024 ميغابايت,10000 ميغابايت,,0
7260,KSA,STEM,Computer Science,Univ,بزيادة عدد الشقوق التي تحتويها اللوحة الأم تزداد,,B,إمكانية تشغيل أكثر من تطبيق في وقت واحد,إمكانية إضافة بطاقات التوسعة لجهاز الكمبيوتر,سرعة جهاز الكمبيوتر حيث ان عدد الشقوق الموجودة على اللوحة االم يحدد سرعة جهاز الكمبيوتر,إمكانية التعامل مع أكثر من نظام تشغيل,,0
7261,KSA,STEM,Computer Science,Univ,ما هي الجهة المسئولة عن الانترنت,,D,( جمعية االنترنت Internet Society),الجمعية العالمية لالنترنت,المنظمة العالمية لمستخدمي االنترنت,ال يوجد أحد مسئول عن االنترنت,,0
7262,KSA,STEM,Computer Science,Univ,جميع البرامج التالية تعتبر من التطبيقات باستثناء,,D,قاعدة البيانات,أوراق العمل,معالج النصوص,نظام التشغيل,,0
7263,KSA,STEM,Computer Science,Univ,ما هو البكسل,,B,عبارة عن أحد تطبيقات مايكروسوفت أوفيس,عبارة عن أصغر منطقة في الصورة,أداة لقياس حجمالصورة,معالجة الكمبيوتر لكيفية تخزين الصور على االقراص المدمجةCD  أو DVD,,0
7264,KSA,STEM,Computer Science,Univ,"اقرأ الجمل التالية وحدد الجملة الخاطئة منها , هناك إجابة واحدة فقط محتملة :",,D,يمكن أن يوجد  الفيروس داخل عدة أنواع من الملفات وال يهم تحديد مصدر الملف حتى يتم إكتشافه,يمكن تنزيل الملف المصاب بفيروس من االنترنت أو من مرفقات البريد االلكتروني,إحتوء الملف على فيروس ال يعني أن الفيروس قد أصاب جهاز الكمبيوتر,يجب تشغيل الفيروس بحذر ومن قبل فني مختص في حال فشل حذفه من الكمبيوتر,,0
