ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
5215,,Social Science,Social Science,Middle,الخليفة الراشدي الذي أطلق عليه لقب ذي النورين هو :-,,B,عمر بن الخطاب ول,عثمان بن عفان ل,أبوبكر الصديق لق,علي بن أبي طالب 4,,0
5216,,Social Science,Social Science,Middle,انتصر المماليك على المغول في معركة :-,,D,الريدانية,حطين,مرج دابق,عين جالوت,,0
5217,,Social Science,Social Science,Middle,نجح المسلمون في عهد الخلافة الأموية عام 89 ه / 707م في فتح بلاد :-,,C,الأندلس,السند,ما وراء النهر,المغرب,,0
5218,,Social Science,Social Science,Middle,حدد الترتيب الصحيح للخلفاء العباسيين حسب توليهم للخلافة من الأقدم إلى الأحدث :-,,D,أبو جعفر المنصور - . المأمون - هارون الرشيد,المأمون - هارون الرشيد . - أبو جعفر المنصور,أبو جعفر المنصور - هارون الرشيد ‏ - . المأمون,هارون الرشيد - - المأمون - أبو جعفر المنصور,,0
5219,,Social Science,Social Science,Middle,قاتل الخليفة علي بن أبي طالب له في معركة النهروان :-,,D,الفرس,الخوارج,الروم,اليهود,,0
5220,,Social Science,Social Science,Middle,""" أراضي مرتفعة عن سطح البحر لها قمة وجوانب شديدة الانحدار "" تدل العبارة السابقة على :-",,B,الجبال,الهضاب,الأودية,السهول,,0
5221,,Social Science,Social Science,Middle,من أهم المحاصيل الزراعية في الجمهورية التونسية :-,,D,الزيتون,الموز,الدخن,المانجو,,0
5222,,Social Science,Social Science,Middle,أكبر الأقاليم المناخية مساحة في الوطن العربي هو :-,,B,المدار. يِ,البحر المتوسط,الصحراوي,الاستوائي,,0
5223,,Social Science,Social Science,Middle,تسق الأمطار الصيفية في الوطن العربي على جنوب :-,,B,مصر,الأردن,عُمان,الجزائر,,0
5224,,Social Science,Social Science,Middle,أكثر أنماط السياحة انتشاراً في الوطن العربي هي :-,,B,الترفيهية,العلاجية,التسويقية,الثقافية,,0
5225,,Social Science,Social Science,Middle,من الطرق البرية الداخلية في الوطن العربي طريق :-,,C,الدوحة - عُمان,الرياض - الدوحة,دمشق - الرياض,الدوحة - دخان,,0
5226,,Social Science,Social Science,Middle,تنتمي صناعة البلاستيك في الوطن العربي إلى الصناعات :-,,D,الهندسية,البترولية,المعدنية,النسيجية,,0
5227,,Social Science,Social Science,Middle,يُصنف النمو السكاني في الوطن العربي ضمن المعدلات :-,,B,المستقرة,الثابتة,المنخفضة,المرتفعة,,0
5228,,Social Science,Social Science,Middle,من انجازات جامعة الدول العربية في المجال التعليمي :-,,B,تنمية الوعي بقضايا المرأة,الاهتمام بالمبدعين من أبناء العرب,"إعلان وثيقة "" عالم عربي جدير بالطفل """,إعمار منشآت العراق بعد تدميرها,,0
5229,,Social Science,Social Science,Middle,تُعد وسيلة الاتصال والتفاهم بين أبناء الأمة العربية الإسلامية :-,,A,الدين الإسلامي,التاريخ المشترك,اللغة العربية,البيئة الاجتماعية,,0
5230,,Social Science,Social Science,Middle,عمل الرسول 88 في صغره بحرفة :-,,D,التجارة,الزراعة,الصناعة,الرعي,,0
5231,,Social Science,Social Science,Middle,أول نزول للوحي على الرسول 88 كان في شهر :-,,C,رجب,شوال,رمضان,شعبان,,0
5232,,Social Science,Social Science,Middle,من أمثلة الصفات الحسنة التي اشتهر بها العرب قبل الإسلام :-,,D,الوفاء بالعهد,وأد البنات,لعب الميسر,العصبية القبلية,,0
5233,,Social Science,Social Science,Middle,حدد الترتيب الصحيح للأحداث التي وقعت في عهد الرسول ج88 من الأقدم إلى الأحدث :,,A,تحالف المشركين مع أعداء الإسلام للقضاء عليه - قتل الغساسنة الرسول المرسل إليهم ليدعوهم إلى الإسلام - استيلاء قريش على أموال المسلمين في مكة,قتل الغساسنة الرسول المرسل إليهم ليدعوهم إلى الإسلام - تحالف المشركين حلفاً مع أعداء الإسلام للقضاء عليه - استيلاء قريش على أموال المسلمين في مكة,استيلاء قريش على أموال المسلمين في مكة - تحالف المشركين مع أعداء الإسلام للقضاء عليه - قتل الغساسنة الرسول المرسل إليهم ليدعوهم إلى الإسلام,قتل الغساسنة الرسول المرسل إليهم ليدعوهم إلى الإسلام - استيلاء قريش على أموال المسلمين في مكة - تحالف المشركين مع أعداء الإسلام للقضاء عليه,,0
5234,,Social Science,Social Science,Middle,يعد قصر غمدان من أبرز الأدلة على براعة اليمنيين القدماء في المجال :-,,D,الفني,الطبي,الديني,الأدبي,,0
5235,,Social Science,Social Science,Middle,يطلق على المياه التي تتدفق طبيعياً من باطن الأرض اسم :-,,B,المحلاة,العيون,الآبار,السيول,,0
5236,,Social Science,Social Science,Middle,تؤثر المسطحات المائية على مناخ شبه الجزيرة العربية حيث تؤدي إلى :-,,B,انخفاض درجات الحرارة,هبوب الرياح المحلية,سقوط الأمطار الموسمية,ارتفاع نسبة الرطوبة,,0
5237,,Social Science,Social Science,Middle,من حقول البترول في دولة الكويت :-,,C,الروضتين,عوالي,دخان,أم الشيف,,0
5238,,Social Science,Social Science,Middle,تُصنف سهول تهامة ضمن السهول الساحلية المطلة على :-,,C,خليج عُمان,بحر العرب,البحر الأحمر,الخليج العربي,,0
5239,,Social Science,Social Science,Middle,أي من دول شبه الجزيرة العربية الآتية تطبق نظام الري بالأفلاج ؟,,C,سلطنة عُمان,دولةقطر,جمهورية اليمن,مملكة البحرين,,0
5240,,Social Science,Social Science,Middle,تحتل دولة قطر عالمياً في تصدير الغاز الطبيعي المسال المركز :-,,D,الثالث,الأول,الرابع,الثاني,,0
5241,,Social Science,Social Science,Middle,يطلق على الفرق بين عدد المواليد وعدد الوفيات ب :-,,D,الزيادة الطبيعية,الزيادة غير الطبيعية,النمو السكاني,الكثافة الطبيعية,,0
5243,,Social Science,Social Science,Middle,من أمثلة القيم الاجتماعية :-,,B,إكرام الضيف,نبذ الحروب,بر الوالدين,لا التبرع بالدم,,0
5244,,Social Science,Social Science,Middle,قبائل أهلكهم الله ولم يبق منهم سوى أخبارهم :,,B,العرب العاربة.,العرب البائدة.,العرب الباقية.,العرب المستعربة.,,0
5245,,Social Science,Social Science,Middle,أرسله الرسول (88)بعد بيعة العقبة الأولى مع المبايعين ليعلمهم أصول الإسلام:-,,C,علي بن أبي طالب.,زيد بن الحارثة.,‫مصعب‬ بن‬ عمٌر‬ .,سعد بن معاذ.,,0
5246,,Social Science,Social Science,Middle,يقصد بها: الفرق بين عدد المواليد وعدد الوفيات:-,,D,النمو السكاني.,الزيادة الغير طبيعية.,السكان.,الزيادة الطبيعية.,,0
5247,,Social Science,Social Science,Middle,ضعفت حرفة الرعي في شبه الجزيرة العربية وذلك بسبب:-,,C,إقامة السدود لري المزروعات.,تدهور المراعي الطبيعية.,الاهتمام بحرفة الزراعة.,تدريب المزارعين وارشادهم.,,0
5248,,Social Science,Social Science,Middle,يحد شبه الجزيرة العربية من جهة الغرب بحر:-,,D,العرب.,الأسود.,المتوسط.,الأحمر .,,0
5249,,Social Science,Social Science,Middle,يبلغ سكان البدو في شبه الجزيرة العربية قبل ظهور البترول:-,,A,0.35,0.34,0.36,0.37,,0
5250,,Social Science,Social Science,Middle,.يفن المصانع مخلفاتها الملوثة في التربة بطريقة غير علمية يؤدي إلى:-,,D,انتشار الأوبئة والأمراض المعدية.,زيادة نسبة الاحتباس الحراري.,تغذي التربة وتساعد على نمو النبات.,زيادة الإنتاج الزراعي.,,0
5251,,Social Science,Social Science,Middle,تعد منطقة شبه الجزيرة العربية من أكثر المناطق في العالم إنتاجاً للبترول والغاز الطبيعي وذلك بسبب:-,,C,صعوبة تصديره للخارج.,ضخامة الإنتاج والاحتياطي.,قلة تكلفة استخراجه.,عمق آبار البترول .,,0
5252,,Social Science,Social Science,Middle,"""مجموعة الاعمال التي تقوم على التخطيط والترتيب"" يقصد بها:-",,D,التعاون.,التعايش الإنساني.,النظام.,التكافل الاجتماعي.,,0
5253,,Social Science,Social Science,Middle,شيد متحف الشيخ فيصل بن قاسم للمقتنيات الأثرية ل:-,,B,نش الوعي الثقافي والتاريخي بين الأجيال.,جمع المقتنيات الأثرية فقط.,للمشاركة في المسابقات الثقافية.,لبيع المقتنيات الأثرية بأسعار باهظة.,,0
5254,,Social Science,Social Science,Middle,يحتفل القطريون في 18 ديسمبر من كل عام ب:-,,B,عيد الأضحى,اليوم الوطني,عيد الفطر,وقفة عرفات,,0
5255,,Social Science,Social Science,Middle,من العوامل التي تؤدي إلى وقوع الحوادث المرورية:-,,C,اتباع إرشادات وتعليمات ركوب الحافلة .,اتباع إجراءات السلامة في الطريق.,التدرب على الاسعافات الأولية.,عدم اتباع تعليمات المرور.,,0
5256,,Social Science,Social Science,Middle,صنف في الجدول التالي أهم صادرات وواردات دول شبه الجزيرة العربية:-,,A,البترول والغاز الطبيعي,المنسوجات والاقمشة,التمور الصادرات الواردات,المعدات الكهربائية,,0
5257,,Social Science,Social Science,Middle,""" استطاع صلاح الدين أن ينزل بالصليبين هزيمة قاسية في معركة قريبة من بحيرة طبرية وهي معركة :-",,C,ذات الصواري .,أجنادين.,حطين.,نهاوند.,,0
5258,,Social Science,Social Science,Middle,بلغت الدولة العباسية أوج قوتها وعظمتها وصارت بغداد مركزاً للتجارة العالمية وملتقى العلماء والشعراء والفقهاء في عهد:-,,D,المأمون.,هارون الرشيد.,أبو العباس السفاح.,أبو جعفر المنصور.,,0
