ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
2933,Jordan,Humanities,History,High,الملك الهاشمي الذي تأجل تسلمه لسلطاته الدستورية لعدم بلوغه سن الثامنة عشر قمرية هو :,,A,الحسين بن طلال,عبدالله الاول,عبدالله الثاني,طلال بن عبدالله,,0
2934,Jordan,Humanities,History,High,من الثوابت السياسة الخارجية الأردنية في عهد الملك الحسين انها قائمة على,,A,الوسطية والاعتدال,المصالحة الاردنية,النشاط السياسي,توحيد الصف العربي,,0
2935,Jordan,Humanities,History,High,المجلس الذي قرر تعيين مجلس وصاية على العرش لعدم بلوغ الأمير الحسين سن الثامنة عشر قمرية هو :,,D,مجلس النواب,المجلس القضائي,مجلس الاعيان,مجلس الوزراء,,0
2936,Jordan,Humanities,History,High,ولد الملك عبدالله الثاني في مدينة عمان عام :,,B,1961,1962,1963,1964,,0
2937,Jordan,Humanities,History,High,تولى الملك عبدالله الثاني سلطاته الدستورية في :,,C,7 شباط عام 1998,7 شباط عام1997, 7 شباط عام 1999, 7 شباط عام 1996,,0
2938,Jordan,Humanities,History,High,تلقى الملك عبدالله الثاني علومه الابتدائية في مدرسة :,,A,الكلية العلمية الاسالمية,ساند إدموند,إيجلبروك,دير فيلد,,0
2939,Jordan,Humanities,History,High,إكمال الملك عبدالله الثاني دراسته الثانوية في مدرسة :,,D,الكلية العلمية الاسالمية,ساند إدموند,فكتوريا,دير فيلد,,0
2940,Jordan,Humanities,History,High,العام الذي التحق فيه جلالة الملك عبدالله الثاني بجامعة جورج تاون في واشنطن لدراسة الشؤون الدولية هو :,,B,1990,1987,1989,1994,,0
2941,Jordan,Humanities,History,High,ترقى الملك عبدالله في صفوف القوات المسلحة وأصبح قائدا للقوات الخاصة الملكية عام :,,D,1990,1987,1989,1994,,0
2942,Jordan,Humanities,History,High,العام الذي أصبح فيه الملك عبدالله الثاني قائدا لسرية في كتيبة الدبابات الملكية 17:,,B,1994,1989,1987,1988,,0
2943,Jordan,Humanities,History,High,"كتاب "" فرصتنا الاخيره : السعي نحو السلام في وقت الخطر "" من مؤلفات الملك :",,C,الحسين بن طلال,عبدالله الاول,عبدالله الثاني,طلال بن عبدالله,,0
2944,Jordan,Humanities,History,High,"""طموحي هو أن يحظى كل أردني بأفضل نوعية من التعليم ، فالإنسان الأردني ميزته الإبداع ،وطريق الابداع يبدأ بالتعليم "" من أقوال الملك :",,C,الحسين بن طلال,عبدالله الاول,عبدالله الثاني,طلال بن عبدالله,,0
2945,Jordan,Humanities,History,High,العام الذي صدرت فيه الإرادة الملكية السامية بتعين سمو الأمير الحسين بن عبدالله الثاني وليا للعهدهو:,,C,1990,2007,2009,1994,,0
2946,Jordan,Humanities,History,High,من المبادرات التي اطلقها سمو ولي العهد الامير الحسين لتنمية مهارات الفرد والجماعة في مجال التعاون والعمل المشترك:,,A,حقق,فرسان التغير,سمع بلا حدود,قصي,,0
2947,Jordan,Humanities,History,High,من المبادرات التي اطلقها سمو ولي العهد الامير الحسين لدعم الأطفال الصم وتأهيليهم:,,C,حقق,فرسان التغير,سمع بلا حدود,قصي,,0
2948,Jordan,Humanities,History,High,من المبادرات التي اطلقها سمو ولي العهد الامير الحسين لتأهيل الكوادر الطبية في المجال الرياضي :,,D,حقق,فرسان التغير,سمع بلا حدود,قصي,,0
2949,Jordan,Humanities,History,High,العام الذي صدر فيه إعلان عمان هو :,,C,2003,2004,2015,2016,,0
2950,Jordan,Humanities,History,High,العام الذي تراس فيه الامير الحسين بن عبدالله لجلسة مجلس الأمن الدولي :,,C,2003,2004,2015,2016,,0
2951,Jordan,Humanities,History,High,"الأمير الذي ترأس لجلسة مجلس الأمن الدولي في نيسان عام 2015م بعنوان"" صون السلام والأمن الدوليين ، حيث يعد أصغر شخصية سنا تترأس مجلس الأمن منذ تأسيسه هو :",,B,حمزة بن الحسين,الحسين بن عبدالله,فيصل بن الحسين,علي بن الحسين,,0
2952,Jordan,Humanities,History,High,القرار الدولي الصادر عن مجلس الأمن الذي جاء استنادا إلى إعلان عمان حول الشباب والسالم والأمن هو :,,A,2250,242,338,181,,0
2953,Jordan,Humanities,History,High,واحدة من الآتية ليست من الإنجازات السياسية الداخلية في عهد الملك عبدالله الثاني,,D,إنشاء محكمة دستورية,تأسيس الهيئة المستقلة لالنتخاب,صدور قانون اللامركزية عام 2015م,ظهرت الأحزاب السياسية,,0
2954,Jordan,Humanities,History,High,من الإنجازات السياسية الداخلية في عهد الملك عبدالله الثاني :,,A,إنشاء محكمة دستورية,تعزيز النهج الديمقراطي,التعديلات الدستورية,إنشاء ديوان المحاسبة,,0
2955,Jordan,Humanities,History,High,إنشاء محكمة دستورية من الإنجازات السياسية الداخلية للملك :,,C,الحسين بن طلال,الملك طلال,عبدالله الثاني,الملك عبدالله الاول,,0
2956,Jordan,Humanities,History,High,تأسيس الهيئة المستقلة لالنتخاب من الإنجازات السياسية الداخلية للملك :,,C,الحسين بن طلال,الملك طلال,عبدالله الثاني,الملك عبدالله الاول,,0
2957,Jordan,Humanities,History,High,صدور قانون اللامركزية من الإنجازات السياسية الداخلية للملك :,,C,الحسين بن طلال,الملك طلال,عبدالله الثاني,الملك عبدالله الاول,,0
2958,Jordan,Humanities,History,High,إعادة النظر بالقوانين الناظمة للعمل السياسي من الإنجازات السياسية الداخلية للملك :,,C,الحسين بن طلال,الملك طلال,عبدالله الثاني,الملك عبدالله الاول,,0
2959,Jordan,Humanities,History,High,العام الذي أنشئت فيه المحكمة الدستورية هو :,,C,2015,2007,2011,2012,,0
2960,Jordan,Humanities,History,High,هيئة قضائية التي تختص بالرقابة على دستورية القوانين وتكون أحكامها نهائية وملزمة للسلطات جميعها:,,A,المحكمة الدستورية,الهيئة المستقلة لالنتخاب, المجلس القضائي الاردني,المحاكم النظامية,,0
2961,Jordan,Humanities,History,High,هيئة قضائية مستقلة أنشئت عام 2011م تتألف من مجموعة من القضاة مدة عضويتهم,,C,7 سنوات,8 سنوات,6 سنوات,5 سنوات,,0
