ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
6245,Jordan,Language,Arabic Language,Primary,تحليل كلمة (شَرِبَت) هو:,,C,شرِ بت,شَ رب ــت,شَــ ر بَت,,,0
6246,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف السين(س) في آخر الكلمة:,,C,فرس,سلمى,مسلم,,,0
6247,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف ميم في أول الكلمة (مـــ) :,,C,قمح,سلام,مسجد,,,0
6248,Jordan,Language,Arabic Language,Primary,"  الكلمة التي تحتوي على حرف (ا) هي:
",,C,نور,سلمى,فادي,,,0
6249,Jordan,Language,Arabic Language,Primary,  الكلمة التي تحتوي على حرف (ي) هي:,,A,سمير,محمد,سلمى,, ,0
6250,Jordan,Language,Arabic Language,Primary, من أشكال حرف التاء:,,B,ة,جميع ما ئكر,ــة,ت,,0
6251,Jordan,Language,Arabic Language,Primary,الكلمة التي لا تحتوي على حرف نون هي:,,A,بيت,الصابون,نظافتي,,,0
6252,Jordan,Language,Arabic Language,Primary, الكلمة التي تحتوي على حرف (ف) بآخر الكلمة :,,C,مفيد,فاطمة ,سيف,,,0
6253,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف ساكن :,,B,سَمَرُ,عثْمان,فَرَحُ,,,0
6254,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف الراء المفتوح :,,C,ترْعى,دارٌ,رَمى,,,0
6255,Jordan,Language,Arabic Language,Primary,""" قال عمر :مدرستي بيتي الثاني أحب مدرستي وأحترم معلمتي"" فقال عمر مدرستي :بيتي....",,A,الثاني,القديم ,الاول,,,0
6256,Jordan,Language,Arabic Language,Primary, الكلمة التي تحتوي على حرف مكسور :,,C,كُتُبٌ,أسماء,رَِسالة,,,0
6257,Jordan,Language,Arabic Language,Primary,"""زرع أبي في الحقل : الجزر والبطاطا ""    الذي زرع الحقل جزر وبطاطا :",,B,جدي,أبي,أخي,,,0
6258,Jordan,Language,Arabic Language,Primary,"  ""يحكى جدي حكاية جميلة في منزل جدي حصان وأغنام ترعى العشب""   في دار جدي.... :",,C,أبقار,أرانب,حصان وأغنام,,,0
6259,Jordan,Language,Arabic Language,Primary," ""تناول نور وعامر الحلوى ما أجمل أزهار الحديقة جلست نور مع عائلتها في حديقة المنزل"" تناول نور وعامر.... ؟
",,A,الحلوى,الخضروات,الفواكه,,,0
6260,Jordan,Language,Arabic Language,Primary,"حرف النون بوسط الكلمة شكله :
",,A,ــنـــ,نـــ,ــن,,,0
6261,Jordan,Language,Arabic Language,Primary, أضع دائرة حول حرف (الباء) :,,A,ب,ت,ث,,,0
6262,Jordan,Language,Arabic Language,Primary,أي مما يلي هو الحرف الساكن:,,A,مْ,سُ,رَ,,,0
6263,Jordan,Language,Arabic Language,Primary,(يمشي سامي) يكون شكل حرف (ش) بوسط الكلمة :,,B,ـــش,ــشـــ,شـــ,,,0
6264,Jordan,Language,Arabic Language,Primary,"""زرع أبي في الحقل : الجزر والبطاطا ""   ماذا زرع أبي في الحقل الجزر و... :",,B,القمح,البطاطا ,الفجل,,,0
6265,Jordan,Language,Arabic Language,Primary,احد الكلمات التالية ورد فيها حرف (ل) :,,C,زرافة,يبني,ليمون,,,0
6266,Jordan,Language,Arabic Language,Primary,حلل الكلمة التالية إلى مقاطع (موسى) :,,A,مو سى,م وسى,موس ى,,,0
6267,Jordan,Language,Arabic Language,Primary,كون جملة مناسبة بالكلمات التالية (ملعب، واسع، مدرستنا):,,C,ملعب واسع مدرستنا,واسع ملعب مدرستنا,ملعب مدرستنا واسع,,,0
6268,Jordan,Language,Arabic Language,Primary,    كون من الحروف التالية كلمة تناسب الجملة يغطي جسم الدجاج...... (ر، ش، ي، ف، م),,A,ريش,صوف,شعر,,,0
6269,Jordan,Language,Arabic Language,Primary,اي من الكلمات  التالية فيها حرف ال (س),,B,شجرة,أسود,شمال,,,0
6270,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف (ا) هي:,,A,فادي,سلمى,نور,حديقة,,0
6271,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف (و) في الصورة الآتية :,,A,وزة,بندورة,موز,كيوي,,0
6272,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف (ي) هي:,,D,سكر,سندس,سلحفاة,سمير,,0
6274,Jordan,Language,Arabic Language,Primary,لون من الألوان التالية فيه حرف ال (س),,D,زهري,برتقالي,أحمر,أسود,,0
6275,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف السين (س) في آخر الكلمة:,,D,سعاد,باسم,سليم,فرس,,0
6276,Jordan,Language,Arabic Language,Primary,الكلمة التي تحتوي على حرف ميم في أول الكلمة (مـ),,D,أحترم,فرمان,سمر,مريم,,0
6277,Jordan,Language,Arabic Language,Primary,أي مما يلي هو الحرف الساكن,,D,تِ,رَ,سُ,مْ,,0
6278,Jordan,Language,Arabic Language,Primary,اركب  من المقاطع الاتية  الكلمة المناسبة : أس...و..د,,A,اسود,خضر,ابيض,,,0
6279,Jordan,Language,Arabic Language,Primary,ملا الفراغ التالي بحرف (س) او (ص)في الكلمت الاتية : كلمة (الم....اء ),,B,حرف (ص),حرف (س),,,,0
6280,Jordan,Language,Arabic Language,Primary,ضع دائرة  حول رمز الاجابة الصحيحة في ما ياتي : كلمة الساحة لامها ...,,A,لام شمسية,لام قمرية,,,,0
6281,Jordan,Language,Arabic Language,Primary,املا الفراغ التالي بالحرف (س) او حرف (ص)في الكلمات الاتية : ال....وت ,,A,حرف (ص),حرف (س),,,,0
6282,Jordan,Language,Arabic Language,Primary,اركب  من المقاطع الاتية  الكلمة المناسبة : اخ.....ض.....ر ,,A,اخضر,اصفر,ابيض,,,0
6283,Jordan,Language,Arabic Language,Primary,احلل الكلمات الى  مقاطع : كلمة (المدرسة ),,C,ا.ل. م. د.س,ا.ل. م. ر.س.ة,ا.ل.م.د.ر.س.ة,,,0
6284,Jordan,Language,Arabic Language,Primary,ضع دائرة  حول رمز الاجابة الصحيحة في ما ياتي : كلمة الوطن الام فيها....,,A,لام قمرية,لام شمسية,,,,0
6285,Jordan,Language,Arabic Language,Primary,اكمل  الفراغ التالي بالكلمه المناسبة: -  مفتاح  .......  ,,C,الشمس,الكتاب,الباب,,,0
6286,Jordan,Language,Arabic Language,Primary,اكمل  الفراغ التالي بالكلمه المناسبة: - سور ....,,B,الحاسوب,الحديقة,الشمس,,,0
6287,Jordan,Language,Arabic Language,Primary,احلل الكلمات لى مقاطع : كلمة ( منال ),,B,م.ا.ل,م.ن.ا.ل,أ.م.ا.ل,,,0
6288,Jordan,Language,Arabic Language,Primary,أنقذت النملة الحمامة....... الصياد حرف الجر المناسب هو:,,B,في,من,عن,الى,,0
6289,Jordan,Language,Arabic Language,Primary,معنى كلمة يفرحني :  ,,D,يؤنسني,يحزنني,يضمني,يسرني,,0
6290,Jordan,Language,Arabic Language,Primary,جمع كلمة معلم :,,B,معلمات,معلمون,معلمان,معلمتان,,0
6291,Jordan,Language,Arabic Language,Primary,"أكمل على نمط المثال صندوق: صناديق"" خرطوم....",,B,خراطيش,خراطيم,مخاريط,مخروط,,0
6292,Jordan,Language,Arabic Language,Primary,أي من الكلمات التالية تحتوي على لامًا قمرية:,,A,الجمل,الشمس,الساحة,النمر,,0
6293,Jordan,Language,Arabic Language,Primary,ما هو ضد الكلمة التي تحتها الخط في الجملة التالية (عندما أرتوي من الماء أحمد الله),,C,شيع الولد من شرب الحليب,نقول لمن ينهي شرابه هنينا,أنا أعطش بعد الركض,لا شيء مما ذكر,,0
6294,Jordan,Language,Arabic Language,Primary,...... الطائرة,,A,تقلع,تركض,تمشي,تسير,,0
6295,Jordan,Language,Arabic Language,Primary,وضع أبي الكتاب...... الرف,,C,خلف,تحت,فوق,بجانب,,0
6296,Jordan,Language,Arabic Language,Primary,"الكلمة التي تنتهي ب (اء) في النص التالي ""قال أحمد لوالده : أحب أن أصبح طيارا أحلق عاليا في السماء""",,A,السماء,عاليا,طيارا,والده,,0
6297,Jordan,Language,Arabic Language,Primary,"أكمل على نمط المثال ""طويل... طويلة"" قصير....",,A,قصيرة,قصیرت,قصرت,قصيره,,0
6298,Jordan,Language,Arabic Language,Primary,ضد كلمة متعرج :  ,,B,منعطف,مستقیم,ملتوي,منحني,,0
6299,Jordan,Language,Arabic Language,Primary,الوان العلم الأردني هي:,,D,أسود، أحمر، أخضر,أبيض، أزرق,أحمر، أخضر، أسود، أزرق,أحمر، أخضر، أسود أبيض,,0
6300,Jordan,Language,Arabic Language,Primary,الأذن حاسة :  ,,C,البصر,اللمس,السمع,الشم,,0
6301,Jordan,Language,Arabic Language,Primary,"أكمل على نمط المثال ""رحيم: رحماء"" بخيل.....",,C,أخلاء,أشداء,بخلاء,بخيلان,,0
6302,Jordan,Language,Arabic Language,Primary,معنى كلمة طليق في الجملة التالية(أحب أن أكون حرا طليقا) :,,A,حر,مكبل,سجين,مقيد,,0
6303,Jordan,Language,Arabic Language,Primary,ما يطلق على صوت العصفور :,,D,صهيل,نهيق,تنهید,تغريد,,0
6304,Jordan,Language,Arabic Language,Primary,أي من الكلمات التالية هي المختلفة:,,A,معلم,شفاء,دواء,علاج,,0
6305,Jordan,Language,Arabic Language,Primary,"أكمل على نمط المثال ""ساحة المدرسة"" ضوء....",,B,الكتاب,الشمس,المفتاح,الشاشة,,0
6306,Jordan,Language,Arabic Language,Primary,"استخرج كلمة منونة بتنوين الفتح من النص التالي "" انطلقت بنا السيارة صباحًا إلى حمامات ماعين في محافظة مأدبا. هذه المياه هبةٌ من الله.",,A,صباحًا,هبة,حمامات,السيارة,,0
6307,Jordan,Language,Arabic Language,Primary,"قال هاشم : ما أجمل علم بلادي. قالت منال: علمي يزهو بالألوان"" من قائل عبارة علمي يزهر بالألوان؟ ",,C,احمد,هاشم,منال,نجلاء,,0
6308,Jordan,Language,Arabic Language,Primary,"ضد كلمة ""القادم""  ",,A,الذاهب,الوداع,الشاهد,الآتي,,0
6309,Jordan,Language,Arabic Language,Primary,لطيفة الكلام..... تعمل في نظام وتأخذ الحرارة...... بغاية المهارة  كلمة تنتهي بحرف( ـــة),,A,لطيفة,حرارة,نظام,مهارة,,0
6310,Jordan,Language,Arabic Language,Primary,استخرج من النص التالي كلمة في وسطها حرف (أ) دنا العصفور من البلبل، وسأله: من أين لك هذا الطعام.,,D,مهارة,الطعام,أين,سأله,,0
6311,Jordan,Language,Arabic Language,Primary,العيون حاسة:  ,,D,التذوق,اللمس,الشم,البصر,,0
6312,Jordan,Language,Arabic Language,Primary,ضد كلمة_ قليل _:,,C,نادر,ضئيل,كثير,بخس,,0
6313,Jordan,Language,Arabic Language,Primary,زئير؟,,D,الحصان,الحمامة,التمر,الأسد,,0
6314,Jordan,Language,Arabic Language,Primary,أي من الكلمات التالية فيها حرف مشدد:  ,,A,أيها,شعرت,الغيار,ألم,,0
6315,Jordan,Language,Arabic Language,Primary,أكلت سعاد....,,A,التفاحة,الحليب,شراب التوت,الماء,,0
6316,Jordan,Language,Arabic Language,Primary,نتناول وجبة الغداء : ,,B,عصرا,ظهرا,ليلا,فجرا,,0
6317,Jordan,Language,Arabic Language,Primary,معنى جاب الأرجاء:,,D,واجهته الأخطار,الأعمال الغريبة,المهالك,زار البلدان,,0
6318,Jordan,Language,Arabic Language,Primary,أكمل على نمط المثال:خبر .....أخبار،  ولد ......,,A,أولاد,ولدان,مولود,والد,,0
6319,Jordan,Language,Arabic Language,Primary,مفرد مغامرات....,,A,مغامرة,مغارة,مغمور,مغامر,,0
6320,Jordan,Language,Arabic Language,Primary,فعل الأمر من كلمة يشكر هو:,,D,شكرا,مشكور,شكر,اشكر,,0
6321,Jordan,Language,Arabic Language,Primary,غرفة الحاسوب واسعة لكن غرفة اللعب ......,,D,أخطر,أقصر,أطول,أوسع,,0
6322,Jordan,Language,Arabic Language,Primary,قرأت سهاد الدرس قرأ.. ة معبرة تكتب الهمزة على شكل:,,A,ء,أ,إ,ؤ,,0
