ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
2352,Jordan,Humanities,History,Primary,……  العصور التي بدأت من اختراع الكتابة حتى عصرنا الحالي.  ,,A,العصور التاريخية  ,العصور الحديثة  ,عصور ماقبل التاريخ  ,العصر الحديدي  ,,0
2353,Jordan,Humanities,History,Primary, متى تم اختراع الكتابة ؟,,D,٣٢٤٠٠ ق . م ,٣٥٤٠٠ ق .م ,٣٢١٠ ق. م ,٣٥٠٠ ق. م ,,0
2354,Jordan,Humanities,History,Primary,أي مما يلي من مظاهر حياة الإنسان في العصر القديم ؟ ,,D,العيش في الكهوف  ,الصيد وجمع الثمار  ,اكتشاف النار  ,جميع ماسبق ,,0
2355,Jordan,Humanities,History,Primary,…….. مزيج من معدن النحاس والقصدير.  ,,D,الحديد ,الفضة,السيليكون,البرونز,,0
2356,Jordan,Humanities,History,Primary,تعد ……… من مظاهر الحضارة الإنسانية الفكرية.  ,,D,الرسم,القراءة,النقش,الكتابة,,0
2357,Jordan,Humanities,History,Primary,"في أي عصر حجري تم ,ظهور أدوات الجرش والطحن.  ",,C,القديم,الوسيط ,الحديث,النحاسي,,0
2358,Jordan,Humanities,History,Primary,إستخدم الإنسان …… في جني المحاصيل الزراعية.  ,,C,الطحن,الجرش,المناجل,رؤوس السهام  ,,0
2359,Jordan,Humanities,History,Primary,تعد قرية …….. من الأمثلة على العصر الحجري الحديث. ,,D,عجلون,درعا,الجلمة,عين غزال ,,0
2360,Jordan,Humanities,History,Primary,ظهور طبقة الحرفيين في العصر الحجري ……. ,,D,القديم,الوسيط,الحديث,النحاسي,,0
2361,Jordan,Humanities,History,Primary,……….. ثمرة استجابة الإنسان لمعطيات البيئة.  ,,B,العصر البرونزي ,الحضارة,أدوات الجرش ,الكتابة,,0
2362,Jordan,Humanities,History,Primary,أي مما يلي يعد الجانب الفكري للحضارة … ,,A,اللغة,الفن,المدن,الكتابة,,0
2363,Jordan,Humanities,History,Primary,لكل حضارة عادات وتقاليد تتميز بها عن غيرها ، يعد مظهر من مظاهر الحضارة الإنسانية …… ,,D,الدينية,الفكرية,السياسية,الاجتماعية,,0
2364,Jordan,Humanities,History,Primary,يرتبط التقويم الميلادي بالأشهر ……… ,,B,القمرية,الشمسية,الحقب الزمنية  ,جميع ماسبق  ,,0
2365,Jordan,Humanities,History,Primary,منطقة فينان من الأمثلة على المناطق الأثرية للعصر …… ,,D,الحديث,الانتقالي,القديم,النحاسي,,0
2366,Jordan,Humanities,History,Primary,تم اكتشاف النار في العصر الحجري ……,,B,الحديث,القديم,الوسيط,النحاسي,,0
2367,Jordan,Humanities,History,Primary,أيٌّ من الحضارات قامت على سواحل البحر المتوسط ؟ ,,C,الادومية,الكنعانية,الفينيقية,العثمانية,,0
2368,Jordan,Humanities,History,Primary,.......... اسم آلة عند الكنعانيون.  ,,B,يارا,ايل,بعل,يوه,,0
2369,Jordan,Humanities,History,Primary,....... أول من سكن فلسطين.  ,,C,الرومانيون,الأدوميون ,الكنعانيون ,الفينيقيون,,0
2370,Jordan,Humanities,History,Primary,يقع القصر العظيم في مدينة.......  ,,A,اوغاريت,دمشق,عمان,أريحا,,0
2371,Jordan,Humanities,History,Primary,ما هي أسماء الآلهة عند الادوميين ؟ ,,A,قوس و هدد  ,اللات والعزى ,بعل والقمر ,عشتار وأيل  ,,0
2372,Jordan,Humanities,History,Primary,……. الديانة التي انتشرت بين الفرس.  ,,D,الهندوسية,الشفية,البراكتية,المجوسية,,0
2373,Jordan,Humanities,History,Primary,هم سكان القدس القدماء ……. ,,A,الكنعانيون,اليبوسيون,العثمانيون,الفينيقيون,,0
2374,Jordan,Humanities,History,Primary,نظام الحكم عند ………. يقوم على الديمقراطية.,,A,الفينيقيون,الكنعانيون,الفرس,اليبوسيون,,0
2375,Jordan,Humanities,History,Primary,……… عاصمة المدينة الفينيقية.  ,,B,أوغاريت,صيدا,جبيل,بيبلوس,,0
2376,Jordan,Humanities,History,Primary,الحرب التي وقعت بين قائد قرطاج والرومان هي ……,,A,البونية,البسوس,الغبراء,عبس,,0
2377,Jordan,Humanities,History,Primary,……… تم اكتشافه عن طريق الحفريات الأثرية.  ,,A,القصر العظيم ,قصر هشام ,المسلة,قصر العبد  ,,0
2378,Jordan,Humanities,History,Primary,عشتار آلهة الخصب عند …… ,,A,الفنيقيين,الكنعانيين,الرمانيين,الادوميين,,0
2379,Jordan,Humanities,History,Primary,من أهم الإنجازات العمرانية:  ,,D,القنوات والسدود  ,المسلة,البرك المائية ,جميع ما سبق  ,,0
2380,Jordan,Humanities,History,Primary,تشتهر ……. بورق البردي.  ,,C,صور,صيدا,جبيل,مصر,,0
2382,Jordan,Humanities,History,Primary,تقع شبه الجزيرة العربية في …….. من قارة آسيا. ,,B,الجنوب الشرقي ,الجنوب الغربي  ,الشمال الشرقي ,الشمال الغربي ,,0
2383,Jordan,Humanities,History,Primary,يلقب ملك الروم ب ……. ,,A,قيصر,كسرى,فارس,سلطان,,0
2384,Jordan,Humanities,History,Primary,تعتبر ……. عاصمة معين.  ,,B,تمنع,قرناو,يثل,فدك,,0
