ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
12298,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
أنا [فراغ] باكستان.",,C,ب,إلى,من,في,,0
12299,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
اسكن [فراغ] شقةٍ.",,D,ب,إلى,من,في,,0
12300,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ذهبتُ [فراغ] السيارة.",,A,ب,إلى,من,في,,0
12301,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
سافرتٌ [فراغ] مصر.",,B,ب,إلى,من,في,,0
12302,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
الكتابُ [فراغ] الحقيبة.",,D,ب,إلى,من,في,,0
12303,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
اكتبُ [فراغ] القلم.",,A,ب,إلى,من,في,,0
12304,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
خرجتُ [فراغ] المطار.",,C,ب,إلى,من,في,,0
12305,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
عاد [فراغ] بيته.",,B,ب,إلى,من,في,,0
12306,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
نام [فراغ] سريره.",,D,ب,إلى,من,في,,0
12307,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
هو [فراغ] أُسرتي.",,C,ب,إلى,من,في,,0
12308,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ينامُ الأطفالً [فراغ] الغرفة.",,B,ب,في,عن,ك,على,0
12309,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ترجَ الطالب [فراغ] الجامعة.",,B,ب,في,عن,ك,على,0
12310,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يأخُذُ الطلابَ العلم [فراغ] شُيُخِهِم .",,C,ب,في,عن,ك,على,0
12311,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
صَوْتُهُ [فراغ] صوتُ النَحلِ.",,D,ب,في,عن,ك,على,0
12312,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يكتُبُ المُعَلِّمُ [فراغ] القلم.",,A,ب,في,عن,ك,على,0
12313,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يقفُ الرجلُ [فراغ] الكُرْسِيّ.",,E,ب,في,عن,ك,على,0
12314,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
أسكن بعيدًا [فراغ] المدينة.",,C,ب,في,عن,ك,على,0
12315,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يُسافر أبي [فراغ] السيارة.",,A,ب,في,عن,ك,على,0
