ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
9597,,STEM,Biology,High,أي من الأت مٌثل الكرموسومات الأنثو ةٌ ؟,,B,YX,XX,YY,XY,,0
9598,,STEM,Biology,High,تحت أي صنف نٌتم ح وٌان النمر ؟,,A,الثدييات,الأسماك,الطيور,البرمائيات,,0
9599,,STEM,Biology,High,أي من الأمراض التال ةٌ تصنف من الأمراض المستوطنة ؟,,B,الأيدز,الملاريا,الأيبولا,الحصبة,,0
9600,,STEM,Biology,High,"تزوج رجل مجهول فصيلة الدم , كانت فصيلة دم أمه "" AB "" وأبوه "" O "" , من امرأة فصيلة دمها "" O . "" أي فصائل الدم التالية لا يمكن تواجدها في الأبناء؟",,B,B,O,AB,A,,0
9601,,STEM,Biology,High,في أي أجزاء البلاستيدة الخضراء تحدث التفاعلات المعتمدة على الضوء في عملية البناء الضوئي؟,,A,الستروما ) الحشوة (,الثيلاكويد,الغشاء الداخلي,الغشاء الخارجي,,0
9602,,STEM,Biology,High,أي الأعراض التالية لا ينتج عادة عن ارتفاع ضغط الدم؟,,B,ضعف جدران الشرايين,زيادة نُسبة اُلسكر فُي اُلدم,زيادة الضغط على جدران الشرايين,عدم انتظام ضربات القلب,,0
9603,,STEM,Biology,High,أي الهرمونات التالية ي سبب انفجار حويصلة جراف ؟,,A,الهرمون المحفز للحويصلات,الإستروجين,البروجيسترون,الهرمون المحفز لتكوين الجسم الأصفر,,0
9604,,STEM,Biology,High,أي من التالي يمثل حجم الهواء الذي يتنفسه الإنسان البالغ والمتمتع بصحة جيدة في الشهيق الواحد، والذي يبلغ حوالي 055 ملليتر؟,,A,حجم الاستنشاق,القدرة الحيوية,حجم احتياطي الزفير,حجم المد والجزر,,0
9605,,STEM,Biology,High,ما هو الأثر المباشر للنيكوتين على جسم الإنسان؟,,A,مادة منبهة تؤدي إلى الإدمان,مادة مسرطنة تسبب الإصابة بسرطان الرئة .,مادة مترسبة تسد الأوعية الدموية الموجودة في القلب,مادة كيميائية تدمر الأهداب الموجودة في القصبة الهوائية .,,0
9606,,STEM,Biology,High,الهدف من استخدام الفيروس في تقنية الهندسة الوراثية واستنساخ الجينات هو:,,A,ربط الجين المطلوب مع البلازميد.,إزالة الجينات غير المرغوب نقلها.,نقل الجين المطلوب.,قطع الجين المطلوب.,,0
9607,,STEM,Biology,High,أي العوامل التالية قد يؤدي الى ظهور أنواع جديدة:,,C,هجرة الطيور في فصل الشتاء من المناطق الباردة,انتشار مرض أدى الى موت أعداد كبيرة من الأفراد,تغير نمط السلوك التكاثري,تزاوج أنواع مختلفة من الكائنات الحية,,0
9608,,STEM,Biology,High,ما المقصود بأل ةٌ الأنتشار الم سٌر ؟,,C,حركة الأ وٌنات عبر الغشاء البلازم من الترك زٌ المنخفض الى المرتفع .,حركة الأ وٌنات عبر الغشاء البلازم من الترك زٌ المنخفض الى المرتفع عبر النواقل البروت نٌ ةٌ .,حركة الأ وٌنات عبر الغشاء البلازم من الترك زٌ المرتفع الى المنخفض عبر النواقل البروت نٌ ة,حركة الأ وٌنات عبر الغشاء البلازم من الترك زٌ المرتفع الى المنخفض .,,0
9609,,STEM,Biology,High,ماذا تسمى ظاهرة أنتفاخ الخل ةٌ النبات ةٌ ف حال وضعها ف محلول ملح منخفض الترك زٌ ؟,,D,النقل النشط,الترهل,التنافذ,صلابة,,0
9610,,STEM,Biology,High,توصف علاقة صراع ب نٌ الغزلان مع بعضها على الغذاء والماء بأنها ؟,,D,الافتراس,السلوك الإقل مٌ .,تنافس ب نٌ الأنواع المختلفة,تنافس ب نٌ النوع الواحد,,0
