ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
4633,Morocco,Humanities,Law,Prof,صدرالقانون رقم 22.01 المتعلق بالمسطرة الجنائية بتاريخ:,,D,4 أكتوير 2002, 6 أكتوير 2009,2 أكتوير 2003,3 أكتوير 2002,جميع الأجوية خاطئة,0
4634,Morocco,Humanities,Law,Prof,كل متهم أو مشتبه فيه بارتكاب جريمة بريء إلى أن تثبت إدانته قانونا:,,B,مقرر مكتسب لحجية المقضي به,بمقرر مكتسب لقوة الثيء المقضي به,جميع الأجوبة خاطئة,,,0
4635,Morocco,Humanities,Law,Prof,يفسر ا لشك,,B,ضد المتهم,لصا لح ‎١‏ لمتهم,جميع الأجوبة صحيحة,,,0
4636,Morocco,Humanities,Law,Prof,يترتب عن كل جريمة الحق:,,C,في دعوى عمومية,دعوى مدنية تابعة,جميع الأجوبة صحيحة,,,0
4637,Morocco,Humanities,Law,Prof,تمارس الدعوى العمومية:,,C,ضد الفاعل الأصلي فقط,ضد الفاعل الأصلي والمشاركين فقط,ضد الفاعل الأصلي والمشاركين والمساهمين في ارتكاب الفعل الجرمي,,,0
4638,Morocco,Humanities,Law,Prof,يقيم الدعوى العمومية:,,D,النيابة العامة,الموظفون المكلفون بذلك قانونا,الطرف المتضرر,جميع الأجوبة صحيحة,,0
4639,Morocco,Humanities,Law,Prof,يمارس الدعوى العمومية:,,D,المتضرر,قضاة الأحكام,رئيس المحكمة أو الرئيس الأول,قضاة النيابة العامة,,0
4640,Morocco,Humanities,Law,Prof,تسقط الدعوى العمومية ب:,,E,موت الشخص المتابع,العفو الشامل,نسخ المقتضيات الجنائية المجرمة للفعل,صدور مقرر مكتسب لقوة الثيء المقضي به,جميع الأجوبة صحيح,0
4641,Morocco,Humanities,Law,Prof,تتقا دم الدعوى العمومية بمرور:,,A,خمس عشرة سنة ميلادية كاملة تبتدئ من يوم ارتكاب الجناية,عشر سنوات ميلادية كاملة تبتدئ من يوم ارتكاب الجنحة,خمس سنوات ميلادية كاملة تبتدئ من يوم ارتكاب المخالفة,جميع الأجوية خاطئة,,0
4642,Morocco,Humanities,Law,Prof,يمكن أن تقام الدعوى المدنية التابعة ضد :,,C,الفاعلين الأصليين فقط,الفاعلين الأصليين والمشاركين والمساهمين فقط,الفاعلين الأصليين والمساهمين والمشاركين وضد ورثتهم أو الأشخاص المسؤولين مدنيا عهيم,جميع الأجوبة خاطئة,,0
4643,Morocco,Humanities,Law,Prof,"لا يترتب عن تخلي الطرف المتضرر عن دعواه أو مصالحته بشأنها أو تنازله عنها انقطاع
سير الدعوى العمومية أو توقفها؟",,A,صحيح,خطأ,,,,0
4644,Morocco,Humanities,Law,Prof,تتقادم الدعوى المدنية التابعة:,,C,بمرور 20 سنة من ارتكاب الجريمة,بمرور 15 سنة من ارتكاب الجريمة,طبقا للقواعد المعمول بها في القانون المدني,جميع الأجوبة خاطئة,,0
4645,Morocco,Humanities,Law,Prof,إذا تقادمت الدعوى العمومية فلا يمكن:,,A,إقامة الدعوى المدنية أمام المحكمة الزجرية,إقامة الدعوى المدنية أمام المحكمة المدنية,جميع الأجوبة خاطئة,,,0
4646,Morocco,Humanities,Law,Prof,توضع الشرطة القضائية قِ دائرة:,,B,نفوذ كل محكمة ابتدائية,نفوذ كل محكمة استئناف,ميع الأجوبة خاطئة,,,0
4647,Morocco,Humanities,Law,Prof,توضع الشرطة القضائية في دائرة نفوذ محكمة الاستئناف تحت سلطة :,,C,الرئيس الأول لمحكمة الاستئناف,الوكيل الملك,الوكيل العام للملك,جميع الأجوبة صحيحة,,0
4648,Morocco,Humanities,Law,Prof,يعهد إلى الشرطة القضائية:,,D,التثبت من وقوع الجرائم,جمع الأدلة عن الجرائم,البعحث عن مرتكي الجرائم,جميع الأجوبة صحيحة,,0
4649,Morocco,Humanities,Law,Prof,تضم الشرطة القضائية:,,E,الضباط السامون,ضباط الشرطة القضائية,ضباط الشرطة القضائية المكلفين بالأحداث,أعوان الشرطة القضائية,جميع الأجوبة صحيحة,0
4650,Morocco,Humanities,Law,Prof,يحمل صفة ضابط الشرطة القضائية:,,D,المدير العام للأمن الوطني,ولاة الأمن,المراقبون العامون للشرطة,جميع الأجوية صحيحة,,0
