ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
9185,Jordan,STEM,Math,Primary,ما ناتج جمع 4 +3 =,,B,10,7,9,8,,0
9186,Jordan,STEM,Math,Primary,ما ناتج طرح 10 -5 =,,B,3,5,4,6,,0
9187,Jordan,STEM,Math,Primary,ما ناتج جمع 2+ 6 = ,,D,7,9,10,8,,0
9188,Jordan,STEM,Math,Primary,"ما ناتج الجمع  2 + 3 =
",,A,5,3,2,4,,0
9189,Jordan,STEM,Math,Primary,ما العدد التالي للعدد 4  ,,B,3,5,6,4,,0
9190,Jordan,STEM,Math,Primary,  اكتب اربعة وسبعون  بالارقام ,,B,47,74,70,,,0
9191,Jordan,STEM,Math,Primary, كم عشرة في العدد 76,,C,6,60,7,,,0
9192,Jordan,STEM,Math,Primary,القيمة المنزلية لرقم العشرات في العدد 89,,A,80,9,90,,,0
9193,Jordan,STEM,Math,Primary,اكتب ثلاثة عشر بالارقام ...........,,B,3,13,31,,,0
9194,Jordan,STEM,Math,Primary, اي من الاعداد التالية يمثل عدد فردي,,A,23,90,34,,,0
9196,Jordan,STEM,Math,Primary,مع خالد 6 علب حلوى في كل علبة 10 حبات بسكويت كم حبة بسكويت مع خالد ؟,,C,6,10,60,,,0
9197,Jordan,STEM,Math,Primary,اكتب سبعة وسبعون بالارقام ,,A,77,70,7,,,0
9198,Jordan,STEM,Math,Primary,اكتب خمسة وثمانون بالارقام ,,B,58,85,80,,,0
9199,Jordan,STEM,Math,Primary,  عدد الاحاد في العدد 90 هو ..........,,A,0,90,9,,,0
9200,Jordan,STEM,Math,Primary,يوجد  على الشجرة 8 عصافير.طار منها 3 عصافير .كم عصفورًا بقي على الشجرة ؟,,A,5,11,7,4,,0
9201,Jordan,STEM,Math,Primary,مع شرف 3 تفاحات ومع هدى 7 تفاحات .كم تفاحة يحتاج شرف حتى يصبح معه نفس عدد تفاحات هدى؟,,B,2,4,10,5,,0
9202,Jordan,STEM,Math,Primary, على الرف يوجد 13 كتابا .كم كتاب يجب ان نضيف حتى يصبح عليه 20 كتابا؟ ,,B,6,7,13,20,,0
9203,Jordan,STEM,Math,Primary,مع رشا 8 وردات اعطاها احمد 4 وردات كم وردة مع رشا؟,,A,12,6,10,4,,0
9204,Jordan,STEM,Math,Primary,  مع عمر 16 قرشا . كم قرشا عليه ان يعطي لكرم حتى يبقى معه 10 قروش؟,,C,9,10,6,8,,0
9205,Jordan,STEM,Math,Primary,"مع علي 4 أقلام ومع شادي 6 أقلام .كم قلما مع الاثنين؟
",,D,9,8,2,10,,0
9206,Jordan,STEM,Math,Primary,"في مقلمة 12 قلم تلوين , 7 منها حمراء والباقي صفراء. كم قلم تلوين اصفر في المقلمة؟ ",,A,5,7,19,9,,0
9207,Jordan,STEM,Math,Primary,اكل خالد 8 حبات حلوى واكلت مريم أقل من خالد  بـ 3 حبات كم حبة حلوى اكلت مريم  ؟ ,,B,11,5,4,2,,0
9208,Jordan,STEM,Math,Primary,في بيت يونس 3 قطط و 4 بقرات و 6 دجاجات . ما هو عدد الحيوانات في بيت يونس؟,,D,10,11,12,13,,0
9209,Jordan,STEM,Math,Primary,يوجد في السلة  16 كرة 9 منها زرقاء والباقي حمراء ما هو عدد الكرات الحمراء؟,,D,6,8,9,7,,0
9210,Jordan,STEM,Math,Primary,ناتج طرح 600-122 هو:,,D,578,522,488,478,,0
9211,Jordan,STEM,Math,Primary,أي العبارات الآتية صحيحة,,B,294= 291,291 < 294,294 < 291,,,0
9212,Jordan,STEM,Math,Primary,عند تقريب العدد 821 لأقرب عشرة يصبح,,C,800,830,820,810,,0
9213,Jordan,STEM,Math,Primary,تقدير ناتج طرح العددين 543 و 115 بالتقريب الأقرب 10 هو,,C,420,430,410,419,,0
9214,Jordan,STEM,Math,Primary,"العدد المفقود في جملة الجمع الآتية  355+........=385
 هو",,D,300,3,33,30,,0
9215,Jordan,STEM,Math,Primary,ناتج جمع العددين 126+752= هو:,,D,864,713,851,878,,0
9216,Jordan,STEM,Math,Primary,تقدير ناتج طرح العددين 748 و 123 بالتقريب الأقرب 10 هو,,C,610,620,630,625,,0
9217,Jordan,STEM,Math,Primary,يكتب العدد تسعمئة وثلاثة وأربعون بالأرقام كالاتي:,,D,349,934,493,943,,0
9218,Jordan,STEM,Math,Primary,يكتب العدد 374 بالصورة التحليلية كالآتي,,A,300+70+4=374,300+70+40=374,30+70+4=374,300+7+4=374,,0
9219,Jordan,STEM,Math,Primary,أي الأعداد الآتية هو حل المسألة الطرح الآتية: 341-189=,,D,172,162,262,152,,0
9220,Jordan,STEM,Math,Primary,أي المجموعات الآتية تمثل أعدادا زوجية:,,A,246/274/682,473/557/605,661/461/487,963/187/999,,0
9221,Jordan,STEM,Math,Primary,الترتيب الصحيح للأعداد الاتية (687/788/ 768) تنازلياً هو:,,A,687/768/788,687/788/768,768/788/687,768/687/788,,0
9222,Jordan,STEM,Math,Primary,يكتب العدد 258 بالكلمات كالاتي:,,C,ثمنمئة وخمسة وعشرون,ثمنمئة واثنان وخمسون,مئتان وثمانية وخمسون,مئتان وثمانية وخمسون,,0
