ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
4950,,STEM,Physics,High,ماذا حٌدث عند سقوط شعاع ضوئ من وسط أكبر كثافة ضوئ ةٌ إلى وسط أقل كثافة ضوئ ةٌ بشكل مائل على السطح الفاصل ب نٌ الوسط نٌ؟,,A,نٌكسر الشعاع الضوئ مبتعدا عن العمود المقام على السطح الفاصل ب نٌ الوسط نٌ,نٌكسر الشعاع الضوئ مقتربا من العمود المقام على السطح الفاصل ب نٌ الوسط نٌ,نٌكسر الشعاع الضوئ بح ثٌ نٌطبق على السطح الفاصل ب نٌ الوسط نٌ,نٌفذ الشعاع الضوئ بدون أي انحراف,,0
4951,,STEM,Physics,High,أي مما هٌ عٌتبر من انكم اٍت انف زٍ اٌئ ةٍ انمشتقة ؟,,D,الكتلة,الطول,الزمن,القوة,,0
4952,,STEM,Physics,High,أي مما هٌ عٌتبر من انكم اٍت انمتجهة ؟,,B,السهن,الإزاحة,الوسرفة,الكبلة,,0
4953,,STEM,Physics,High,ما هو سبب ارتفاع كثافة المادة الصلبة مقارنة بكثافة المادة السائلة أو الغاز ةٌ ؟,,D,لأن المسافات ب نٌ الجز ئٌات متوسطة,لأن سرعة حركة الجز ئٌات عال ةٌ,لأن الجز ئٌات متباعدة بشدة,لأن الجز ئٌات متقاربة بشدة,,0
4954,,STEM,Physics,High,ماذا حٌدث لقطعة من الحد دٌ عند تسخ نٌها ؟,,B,تنكمش وتزداد سرعة اهتزاز جز ئٌاتها,تتمدد وتزداد سرعة اهتزاز جز ئٌاتها,تنكمش و تقل سرعة اهتزاز جز ئٌاتها,تتمدد وتقل سرعة اهتزاز جز ئٌاتها,,0
4955,,STEM,Physics,High,ما هو الش ءً الذي تنقله الموجة ؟,,D,الجز ئٌات,السعة,الكتلة,الطاقة,,0
4956,,STEM,Physics,High,ما هو مدى الموجات الصوت ةٌ الت تٌمكن الإنسان السل مٌ من سماعها ؟,,D,أكبر من Hz 20000,من Hz 10 إلى Hz 10000,أقل من Hz 20,من Hz 20 إلى Hz 20000,,0
4957,,STEM,Physics,High,أي من الحالات التال ةٌ نٌشأ عنها موجات موقوفة ؟,,A,تداخل موجت نٌ لهما نفس السرعة والسعة والتردد وفرق الطور ب نٌهما 180,تداخل موجت نٌ لهما نفس الطور والسعة والتردد,تداخل موجت نٌ لهما نفس الطور ومختلف نٌ ف السرعة,تداخل موجت نٌ لهما نفس السرعة والسعة والطور ومختلف نٌ ف الطول الموج,,0
4958,,STEM,Physics,High,لماذا تكتب كلمة إسعاف معكوسة على مقدمة س اٌرات الإسعاف ؟,,D,حتى تُرى ف مرا اٌ الس اٌرات الأخرى مقلوبة,حتى تُرى ف مرا اٌ الس اٌرات الأخرى معكوسة,حتى لا تُرى ف مرا اٌ الس اٌرات الأخرى نهائ ا,حتى تُرى ف مرا اٌ الس اٌرات الأخرى صح حٌة,,0
4959,,STEM,Physics,High,"عند دلك جسم نٌ عازل نٌ ببعضهما البعض , ماذا تكون شحنة كل منهما ؟",,A,شٌحنان بشحنت نٌ مختلفت نٌ ومتساو تٌ نٌ,ظٌلان متعادل نٌ و لا شٌحنان,شٌحنان بشحنت نٌ سالبت نٌ متساو تٌ نٌ,شٌحنان بشحنت نٌ موجبت نٌ متساو تٌ نٌ,,0
