ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
6167,Egypt,Other,Management,Univ,ترتيب الحاجات الأساسية الأربع فى هرم ماسله..................,,A,الث جييي ت الاحييي ؾلؾج ة الث جييية ل مييي الث ج ت اإلجبر ع ة الث جة لمبي ير.,الث جيييييييي ت الاحيييييييي ؾلؾج ة الث جيييييييي ت اإلجبر ع يييية الث جيييية لمبييييي ير الث جيييية ل م .,الث جييي ت الاحييي ؾلؾج ة الث جييية لمبييي ير الث جة ل م الث ج ت اإلجبر ع ة.,الث جيييييييي ت الاحيييييييي ؾلؾج ة الث جيييييييي ت اإلجبر ع يييية الث جيييية ل ميييي الث جيييية لمبي ير.,,0
6168,Egypt,Other,Management,Univ,مبدأ وحدة الأمر يعشى.....,,B,ق ئ ب رع قؾى الخجد ة.,رئ س حاا لكل مروحس.,مروحس حاا لكل رئ س.,C&A مع,,0
6169,Egypt,Other,Management,Univ,مدرج ماسله للحاجات يسثل هرم من عدة مدتهيات يبلغ عددها.,,C,3 محبؾ ت.,4 محبؾ ت.,5 محبؾ ت.,6 محبؾ ت.,,0
6170,Egypt,Other,Management,Univ,يختتتت. ............ بعتتتدد السراوستتتين التتتذين يذتتتر علتتتيإم إدارا واحتتتد ويخزتتتعهن لدلطته.,,B,نظ ق الرث ًبة.,نظ ق اإلشرا .,نظ ق الرحئؾل ة.,نظ ق الرح ئمة.,,0
6171,Egypt,Other,Management,Univ,تذير .......... إلى استخدام صاحب الدلطة لكافتة الأظمستة السعستهل بإتا فتى السشمستة لتحقيق التررفات السطلهبة.,,B,الحمظة البزا ذ ة.,اليؾة.,الحمظة الؾع ة.,الحمظة اإلًبخ ر ة.,,0
6172,Egypt,Other,Management,Univ,إن مشع التدخين فى بعض مشمسات الأعسال يسثل..................,,A,قؾام .,ً ً ت.,برام زمز ة.,مخ ر .,,0
6173,Egypt,Other,Management,Univ,يحقتق ........... الدتترعة فتى إتختاا القتترارات اإلداريتة فتى السدتتهيات اإلداريتة خاصتة الدظيا والك لقربإا من عسليات التشفيذ والسذكالت السترتبة عليإا.,,B,الرق بة.,تاؾ ض الحمظة.,الرركز ة.,البغذ ة العكح ة,,0
6174,Egypt,Other,Management,Univ,درجتة تهييتع الدتلطة بتين الألتخاص والسدتتهيات اإلداريتة السختلفتة فتى السشمستة تذتير إلى............,,C,الرركز ة,الحمظة.,ال مركز ة.,اليرارات.,,0
6175,Egypt,Other,Management,Univ,. ال يعد مثاالً على الخطط دائسة اإلستخدام.,,B,الح ً ت.,الرخرحم ت.,اإلجراءات.,اليؾام .,,0
6176,Egypt,Other,Management,Univ,إن خطة اإلظتاج وخطة التدهيق هسا مثال على الخطط......,,D,اإلًبرات ت ة.,بع ة الر ى.,البخغ م ة.,البكب ك ة.,,0
6177,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

التنظيم هو التقرير سلفاً بما يجب عمله في المستقبل لتحقيق أهداف المنشأة خلال فترة زمنية محددة.",,B,نعم,لا,,,,0
6178,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

الوظائف ا لإدارية تتميز بالتعقيد",,A,نعم,لا,,,,0
6179,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

لم توجه إلى المدرسة الكلاسيكية أي انتقادات تذكر ",,B,نعم,لا,,,,0
6181,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يعتبر إلتون مايو مؤسسا لمدرسة العلاقات الانسانية",,A,نعم,لا,,,,0
6182,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

حدد "" فايول ِ"" أربعة عشر مبد أ إد ارثا يرى أنها ضرورية لأي إدارة ناجحة",,A,نعم,لا,,,,0
6184,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

ينظر مدخل النظم إلى المنظمة على أنها نظام مفتوح",,A,نعم,لا,,,,0
6185,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تقوم المدرسة الموقفية في الإدارة على أساس أنه ليس هناك منهج إداري يصلح تطبيقه لكافة أنواع المنظمات",,A,نعم,لا,,,,0
6186,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يمكن استخدام نتائج المدرسة الكمية في حل جميع المشكلات التي تعترض الإدارة.",,B,نعم,لا,,,,0
6187,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

دائما ما تتصف بيئة العمل الإدارى بالاستقرار .",,B,نعم,لا,,,,0
6188,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك مجموعة من الخصائص التي تتميز بها بيئة العمل ‎١‏ لإد ارى ",,A,نعم,لا,,,,0
6189,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

لا تختلف الأهمية النسبية للمهارات الإدارية باختلاف المستوى الإداري في المنظمة",,B,نعم,لا,,,,0
6191,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تقتصر الأدوار الخاصة بالمديرين على أدوار العلاقات",,B,نعم,لا,,,,0
6192,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تتعدد أنواع المهارات المطلوب توافرها في المديرين",,A,نعم,لا,,,,0
6193,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

ا تتأثر الإدارة بالبيئة الثقافية المحيطة بها .",,B,نعم,لا,,,,0
6194,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يمثل المستهلكين جزءًا من البيئة العامة للمنظمة.
",,B,نعم,لا,,,,0
6195,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تعتبر البيئة السياسية من العناصر الهامة ذات التأثير في عمل المنظمات",,A,نعم,لا,,,,0
6196,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

 ‏لا تؤثر الظروف الاقتصادية العامة على عمل المنظمة",,B,نعم,لا,,,,0
6197,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

التطور التكنولوجي السريع المتلاحق في ميدان الأعمال يؤثر على المنظمة من حيث الطلب على منتجات وخدمات المنظمة .",,A,نعم,لا,,,,0
6198,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

ليس هناك فروق تذكر بين القرارات الفردية والقرارات الجماعية .",,B,نعم,لا,,,,0
6199,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

صنع القرار وإتخاذ القرار مرادفان لمعنى واحد",,B,نعم,لا,,,,0
6200,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

لا توجد أى احتياطات تؤخذ فى الاعتبار عند مشاركة الأفراد",,B,نعم,لا,,,,0
6201,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تحقق المشاركة في صنع القرارات مزايا متعددة",,A,نعم,لا,,,,0
6202,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

اتخاذ القرارات جوهر العملية الإدارية .",,A,نعم,لا,,,,0
6203,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

اتخاذ القرارات أساس لإدارة وظائف المنظمة .",,A,نعم,لا,,,,0
6204,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

المشكلة والظاهرة مرادفان لمعنى واحد",,B,نعم,لا,,,,0
6205,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تقتصر وظيفة التخطيط على مستوى الإدارة العليا فقط في المنظمة",,B,نعم,لا,,,,0
6206,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تعد وظيفة التخطيط الوظيفة الأولى من وظائف الإدارة",,A,نعم,لا,,,,0
6207,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

‏لا توجد علاقة بين التخطيط والرقابة‎",,B,نعم,لا,,,,0
6208,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يعتبر التخطيط أسلويًا لتقليص المخاطر .",,A,نعم,لا,,,,0
6209,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

السياسات تعد أعم و أشمل من الإجراءات",,A,نعم,لا,,,,0
6210,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

البطء في اتخاذ القرارات من صعويات التخطيط",,A,نعم,لا,,,,0
6211,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

ليس هناك فرق بين السياسة والهدف",,B,نعم,لا,,,,0
6212,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك شروط لتحديد الأهداف",,A,نعم,لا,,,,0
6213,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

ليس هناك فرق بين التخطيط والخطة .",,B,نعم,لا,,,,0
6214,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك مجموعة من العوامل المهمة الواجب مراعاتها في تحديد الاستراتيجية",,A,نعم,لا,,,,0
6215,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يعد تصميم الهيكل التنظيمي أمرًا يتسم بالسهولة ومن الممكن أن يتم لمرة واحدة",,B,نعم,لا,,,,0
6216,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تبدا عملية التنظيم بوضع الأهداف التي تسعى المنظمة إلى تحقيقها.",,A,نعم,لا,,,,0
6217,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

لا يوجد نطاق أمثل للإشراف",,A,نعم,لا,,,,0
6218,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

التنظيم غير الرسمي هي عبارة عن شبكة الاتصالات الرسمية الموجودة داخل المنظمة ",,B,نعم,لا,,,,0
6219,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يعد مبداً التخصص وتقسيم العمل من أهم مبادئ التنظيم لما له من مزايا متعددة وعدم وجود عيوب",,B,نعم,لا,,,,0
6220,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

إن السلطة والقوة مرادفان لمعنى واحد",,B,نعم,لا,,,,0
6221,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

إن تفويض السلطة يتضمن إعفاء المدير من المسئولية تجاه أعمال من يفوضهم .",,B,نعم,لا,,,,0
6222,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك أنواع متعددة من السلطة الإدارية .",,A,نعم,لا,,,,0
6223,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك بعض العوامل التي تفضل فيها الإدارة الاتجاه نحو اللامركزية في التنظيم .",,A,نعم,لا,,,,0
6224,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تتعدد المستويات الإدارية في التتظيم الرسمي",,A,نعم,لا,,,,0
6225,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

هناك بعض الأسباب التي تؤيد تفويض السلطات وخاصة في المنظمات كبيرة الحجم",,A,نعم,لا,,,,0
6226,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

تمثل الأوامر الأداة الرئيسية لإرشاد المرؤوسين وتوجيههم ولذلك يشترط فيها شروط معينة",,A,نعم,لا,,,,0
6227,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

إن قدرة المدير في حفز العاملين على العمل تتوقف بالدرجة الأولى على فهمه لسلوك ‏وتصرفات هؤلاء العاملين للتعرف على دوافعهم",,A,نعم,لا,,,,0
6228,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

الحافز هو الشيء الذي ينبع من نفس العنصر البشري ويخلق وبثير لديه الرغبة في ‏العمل",,B,نعم,لا,,,,0
6229,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

يجب أن يعتمد المدير على الحوافز المادية فقط في حفز العاملين على العمل",,B,نعم,لا,,,,0
6230,Egypt,Other,Management,Univ,وضع السیاسات المتعلقة بالاسم والعلامة التجاریة ،والتغلیف والتبیین ،وكافة أشكال الضمان تتبع نشاط,,A,تخطیط المنتجات,تحدید الأسعار,منافذ التوزیع,الترویج,,0
6231,Egypt,Other,Management,Univ,عندما نقدم أشیاء جدیدة فى محطة البنزین سواء سلع متعلقة بالسیارة أو براكب السیارة أو برحلة السیارة أو بظروف الإنتظار فى محطة البنزین فإننا نسعى إلى تحقیق,,A,فرصة الإبتكار,فرصة تحسین الكفاءة,فرصة خلق میزة تنافسیة,فرصة السیطرة على قطاع السوق,,0
6232,Egypt,Other,Management,Univ,الفكرة الأساسیة التي تقول أن السلعة الجیدة تبیع نفسھا بنفسھا تأتى ضمن افتراضات فلسفة,,B,التوجیھ بالإنتاج,التوجیھ بالمنتج,التوجیھ بالبیع,التوجیھ بالتسویق,,0
6233,Egypt,Other,Management,Univ,عندما یتم التركیز فى دراسة واتخاذ القرارات على تحدید وتحلیل الأدوار التسویقیة التي یتم القیام بھا من قبل العدید من المؤسسات فإن المدخل المتبع فى تشغیل وإنجاز النشاط التسویقي یكون,,C,المدخل الوظیفي,المدخل السلعي,مدخل المنشآت التسویقیة,المدخل الإداري,,0
6234,Egypt,Other,Management,Univ,عدد مجموعات السلع المختلفة (خطوط الإنتاج)التى یقوم المشروع بإنتاجھا یعنى,,D,خط المنتجات,عمق المزیج السلعي,تناسق المزیج السلعي,تناسق المزیج السلعي,,0
6235,Egypt,Other,Management,Univ,عدد أشكال السلعة المعینة فى كل مجموعة (أوخط إنتاجي)من مجموعات السلع التي یتم إنتاجھا یعنى,,D,خط المنتجات,اتساع المزیج السلعي,تناسق المزیج السلعي,عمق المزیج السلعي,,0
6236,Egypt,Other,Management,Univ,تعتبر إستراتیجیات تعدیل السوق/تعدیل السلعة/تعدیل المزیج التسویقي من أھم الإستراتیجیات التي یمكن استخدامھا فى,,C,مرحلة تقدیم السلعة فى السوق,مرحلة نمو السلعة فى السوق,مرحلة نضج السلعة فى السوق,مرحلة انحدار السلعة فى السوق,,0
6237,Egypt,Other,Management,Univ,المنتجات التي لا تحظى حالیا بقدر مرتفع من الحصة السوقیة ولكن سوقھا یتمیز بارتفاع ونمو حجم الطلب,,C,المنتجات النجوم,المنتجات المدرة للدخل (الأبقار),المنتجات الأولى بالرعایة (الطفل المشكلة),المنتجات الأقل حظا فى السوق (الكلاب),,0
6238,Egypt,Other,Management,Univ,المنتجات التي تتمیز بحصة سوقیة كبیرة وتعمل فى سوق تنمو بدرجة عالیة ، تسمى,,A,المنتجات النجوم,المنتجات المدرة للدخل (الأبقار),المنتجات الأولى بالرعایة (الطفل المشكلة),المنتجات الأقل حظا فى السوق (الكلاب),,0
6239,Egypt,Other,Management,Univ,عندما تھدف إستراتیجیة نطاق التوزیع إلى تحقیق صورة ذھنیة طیبة ورقابة جادة ودرجة عالیة من الولاء للسلعة فإن سیاسة التوزیع المناسبة تصبح,,A,التوزیع الوحید,التوزیع غیر المباشر,التوزیع الإنتقائى,التوزیع الشامل,,0
6240,Egypt,Other,Management,Univ,یتمیز السعر عن باقي عناصر المزیج التسویقي بأنه یلقي اهتماما خاصا على مستوي,,D,المستهلك,المنشأة,القومى,كل ما سبق,,0
6241,Egypt,Other,Management,Univ,كافة قنوات التوزیع المتاحة فى صناعة محددة، یطلق علیها,,B,قناة التوزیع,هیكل التوزیع,منفذ التوزیع,تجار الجملة,,0
6242,Egypt,Other,Management,Univ,من الوسائل غیر الشخصیة للترویج,,D,الإعلان,الدعایة أو النشر,البیع الشخصي,كل من (a (و (b (معا,,0
6243,Egypt,Other,Management,Univ,من أهداف التسعیر,,C,تحقیق أقصي رقم للمبیعات و الأرباح,تحقیق الثبات و الاستقرار في السوق,كل من a وb معا,لا شئ مما سبق,,0
6244,Egypt,Other,Management,Univ,من بین العوامل المتعلقة بالمستهلكین و التي تؤخذ في الحسبان عند اختیار منافذ التوزیع جمیع الآتي، فیما عدا,,D,التركیز الجغرافي من عدمه,القوة الشرائیة,اعداد العملاء والمستهلكین,الموارد المتاحة في مجال التوزیع,,0
6180,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

التركيز على الحافز المادي و إهمال حاجات و دوافع الإنسان الأخريمن الانتقادات التى وجهت للمدرسة الكلاسيكية",,A,نعم,لا,,,,1
6183,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

الأنظمة المفتوحة لا تتفاعل مع البيئة المحيطة.",,B,نعم,لا,,,,1
6190,Egypt,Other,Management,Univ,"إختار الإجابة الصحيحة بنعم أو لا مما يأتي:

المهارات الإدارية مطلوب توافرها في مديري الإدارة العليا فقط ",,B,نعم,لا,,,,1
