ID,Source,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
12298,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
أنا [فراغ] باكستان.",,C,ب,إلى,من,في,,0
12299,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
اسكن [فراغ] شقةٍ.",,D,ب,إلى,من,في,,0
12300,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ذهبتُ [فراغ] السيارة.",,A,ب,إلى,من,في,,0
12301,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
سافرتٌ [فراغ] مصر.",,B,ب,إلى,من,في,,0
12302,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
الكتابُ [فراغ] الحقيبة.",,D,ب,إلى,من,في,,0
12303,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
اكتبُ [فراغ] القلم.",,A,ب,إلى,من,في,,0
12304,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
خرجتُ [فراغ] المطار.",,C,ب,إلى,من,في,,0
12305,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
عاد [فراغ] بيته.",,B,ب,إلى,من,في,,0
12306,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
نام [فراغ] سريره.",,D,ب,إلى,من,في,,0
12307,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
هو [فراغ] أُسرتي.",,C,ب,إلى,من,في,,0
12308,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ينامُ الأطفالً [فراغ] الغرفة.",,B,ب,في,عن,ك,على,0
12309,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ترجَ الطالب [فراغ] الجامعة.",,B,ب,في,عن,ك,على,0
12310,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يأخُذُ الطلابَ العلم [فراغ] شُيُخِهِم .",,C,ب,في,عن,ك,على,0
12311,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
صَوْتُهُ [فراغ] صوتُ النَحلِ.",,D,ب,في,عن,ك,على,0
12312,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يكتُبُ المُعَلِّمُ [فراغ] القلم.",,A,ب,في,عن,ك,على,0
12313,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يقفُ الرجلُ [فراغ] الكُرْسِيّ.",,E,ب,في,عن,ك,على,0
12314,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
أسكن بعيدًا [فراغ] المدينة.",,C,ب,في,عن,ك,على,0
12315,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يُسافر أبي [فراغ] السيارة.",,A,ب,في,عن,ك,على,0
12316,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يكتبُ الطالبً واجبه [فراغ] الدَّفْتَر .",,B,ب,في,عن,ك,على,0
12317,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ظَهَرَ القَلَقُ [فراغ] وَجْهِهِ.",,E,ب,في,عن,ك,على,0
12318,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
يرغب الأُسْتَاذُ [فراغ] السَّفَرِ .",,B,ب,في,عن,ك,على,0
12319,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر حرف الجر المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
ضَعِ الكُوبَ [فراغ] الطاوِلَةِ .",,E,ب,في,عن,ك,على,0
12320,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] أمي .",,B,هذا,هذه,,,,0
12321,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] أبي .",,A,هذا,هذه,,,,0
12322,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] أخي .",,A,هذا,هذه,,,,0
12323,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] ابني .",,A,هذا,هذه,,,,0
12324,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] أختي .",,B,هذا,هذه,,,,0
12325,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] جدي .",,A,هذا,هذه,,,,0
12326,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] بَيْتُ الأسرة .",,A,هذا,هذه,,,,0
12327,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ]. عمتي .",,B,هذا,هذه,,,,0
12328,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
[فراغ] خالي .",,A,هذا,هذه,,,,0
12329,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
من [فراغ] ؟ (طبيب)",,A,هذا,هذه,,,,0
12330,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
من [فراغ] ؟ (ولد)",,A,هذا,هذه,,,,0
12331,https://www.madinaharabic.com/quiz/,,Language,Arabic Language (Grammar),,"اختر اسم الاشارة المناسب لوضعه بدلاً من [فراغ] في الجملة التالية:
من [فراغ] ؟ (بنت)",,B,هذا,هذه,,,,0
