ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
11090,Egypt,Social Science,Economics,Univ,يقوم بدراسة وتحليل سلوك الوحدات الاقتصادية الفردية كالمستهلك والمنتج,,A,الاقتصاد الجزئي,الاقتصاد الجزئي,الاقتصاد المعيارى,الاقتصاد الواقعى,,0
11091,Egypt,Social Science,Economics,Univ,من امثلة الاقتصاد المعيارى,,D,هل يجب علينا رفع الضرائب علي أصحاب الدخول المرتفعة,هل يجب علي الدولة زيادة الإعفاءات الضريبية,هل يجب علي الدولة رفع الضرائب الجمركية علي السيارات أم خفضها,جميع ما سبق,,0
11092,Egypt,Social Science,Economics,Univ,يجب علي الدولة تخفيض الضرائب علي أصحاب الدخول المنخفضة. تنتمي هذه الجملة للاقتصاد الواقعي,,B,عبارة صحيحة,عبارة خاطئة,,,,0
11093,Egypt,Social Science,Economics,Univ,من أمثلة الاقتصاد الواقعى كل ذلك ما عدا,,D,ما هى الآثار الاقتصادية لرفع الضرائب أو نقص النفقات العامة,ما هي آثار تحرير التجارة علي اقتصادات الدول النامية,ما هو تأثير رفع السعر علي الكمية المستهلكة من السلعة,هل يجب علينا رفع الضرائب,,0
11094,Egypt,Social Science,Economics,Univ,عنصر من عناصر الانتاج يقوم باتخاذ القرارات غير التقليدية لتحديد نوعية وكمية السلع المطلوب إنتاجها وإبتكار أساليب وطرق جديدة لتحسين الإنتاج وتحمل المخاطرة,,D,الأرض( الموارد الطبيعية),العمل,راس المال,التنظيم,,0
11095,Egypt,Social Science,Economics,Univ,راس المال الحقيقي هو مورد اقتصادي يسهم بخدماته في الإنتاج مثل الآلات والمعدات والمباني.,,A,عبارة صحيحة,عبارة خاطئة,,,,0
11096,Egypt,Social Science,Economics,Univ,النقاط الواقعة علي منحني إمكانات الإنتاج هى نقاط,,B,إنتاج غير مثلى,إنتاج مثلى,خارج الامكانات,لا توجد إجابة,,0
11097,Egypt,Social Science,Economics,Univ,الطلب يعني,,C,الرغبة في الشراء فقط,توافر القوة الشرائية فقط,توافر الرغبة والقوة الشرائية معا,لا توجد اجابة,,0
11098,Egypt,Social Science,Economics,Univ,العلاقة بين الكمية المطلوبة من سلعة ما وسعر السلعة المكملة لها بافتراض ثبات العوامل الأخرى,,B,طردية,عكسية,ثابتة,لا توجد علاقة,,0
11099,Egypt,Social Science,Economics,Univ,لانتقال من نقطة لآخري علي نفس منحني الطلب يحدث بسبب التغير في,,B,دخل المستهلك,سعر السلعة,عدد السكان,اذواق المستهلكين,,0
