ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
7178,Egypt,Social Science,Accounting,Univ,فرع محاسبً ٌهدف إلى التحقق من صحة وسالمة المعلومات المالٌة بما ٌضفى مزٌداً من الثقـة على هذه المعلومات,,C,المحاسبة الحكومٌة,المحاسبة الدولٌة,المراجعة,المحاسبة االجتماعٌة,,0
7179,Egypt,Social Science,Accounting,Univ,من الخصائص النوعٌة للمعلومات المحاسبٌة,,D,المالءمة,المصداقٌة,القابلٌة للمقارنة,كل ما سبق,,0
7180,Egypt,Social Science,Accounting,Univ,مختبر ٌعد بغرض التحقق من صحة تسجٌل العملٌـات وترحٌلها وترصٌدها ، وٌعتبر مقدمـة أساسٌة إلعداد القوائم المالٌة,,C,دفتر الٌومٌة,دفتر األستاذ,مٌزان المراجعة,الشىء مما سبق,,0
7181,Egypt,Social Science,Accounting,Univ,فرض محاسبى ٌقضى بؤن للمنشؤة كٌان قانونى مستقل وٌتم التعـامل باسمها ولها سجالتهـا وحساباتها المنفصلة عن المالك,,B,االستمرارٌة,الشخصٌة المعنوٌة,الفترٌة,القٌاس النقدي,,0
7182,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة ٌتم بمقتضاها مقارنة اإلٌرادات التى تخص الفترة المحاسبٌـة بالمصروفات المرتبطة بها من أجل تحدٌد نتٌجة نشاط المنشؤة خالل تلك الفترة,,C,التكلفة التارٌخٌة,تحقق اإلٌراد,المقابلة,الشىء مما سبق,,0
7183,Egypt,Social Science,Accounting,Univ,فرع محاسبً ٌوفر معلومات للمستفٌدٌن الخارجٌٌن,,A,المحاسبة المالٌة,محاسبة التكالٌف,المحاسبة اإلدارٌة,ال شىء مما سبق,,0
7184,Egypt,Social Science,Accounting,Univ,ما تقتنٌه المنشؤة بهدف القٌام بالنشاط الرئٌسً لها ولٌس بغرض الاتجار فٌه,,A,األصول الثابتة,األصول المتداولة,اإللتزامات طوٌلة األجل,الشىء مما سبق,,0
7185,Egypt,Social Science,Accounting,Univ,من الأخطاء التى ال تإثر على توازن مٌزان المراجعة,,D,أخطاء الحذف الكلً,األخطاء العوضٌة أو التكافإٌة,األخطاء العوضٌة أو التكافإٌة,كل ما سبق,,0
7186,Egypt,Social Science,Accounting,Univ,خصم ٌؤخذ صورة نسبة تصاعدٌة وفقاً لكمٌة أو قٌمة البضاعة المشتراة أو المباعة,,B,الخصم التجارى,خصم الكمٌة,الخصم النقدى,كل ما سبق,,0
7187,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة ٌتم بمقتضاها أخذ الخسائر المحتملة فى الحسبان وعدم أخذ الأرباح غٌر المحققة وذلك عند تحدٌد دخل الفترة المحاسبٌة,,B,التكلفة والعائد,التكلفة والعائد,اإلفصاح الكامل,الشىء مما سبق,,0
7188,Egypt,Social Science,Accounting,Univ,تعبرعن تدفقات خارجة من النقدٌة وغٌرها من الأصول الاخرى مقابل الحصول على اإلٌراد,,C,اإلٌرادات,اإللتزامات,المصروفات,الشىء مما سبق,,0
7189,Egypt,Social Science,Accounting,Univ,ورقة تجارٌة تعد بمثابة تعهد كتابى صادر من المدٌن للدائن بدفع مبلغ معٌن فى تارٌخ معٌن,,B,الشٌك,السند األذنى,الكمبٌالة,ال شىء مما سبق,,0
7190,Egypt,Social Science,Accounting,Univ,أى من البنود التالٌة ٌظهر فى كل من الحسابات الختامٌة وقائمة المركز المالً للمنشؤة,,B,بضاعة أول المدة,بضاعة أخر المدة,مجمل الربح أو الخسارة,الشىء مما سبق,,0
7191,Egypt,Social Science,Accounting,Univ,أى من البنود اآلتٌة ٌعد رصٌده الطبٌعً دائنا,,D,األثاث,العمالء,أوراق القبض,أوراق الدفع,,0
7192,Egypt,Social Science,Accounting,Univ,ال تعد من قبٌل المصروفات اإلٌرادٌة للسٌارات,,C,نفقات تجدٌد رخصة السٌارة,نفقات الصٌانة الدورٌة,أتعاب التخلٌص الجمركى,نفقات الزٌوت والوقود,,0
7193,Egypt,Social Science,Accounting,Univ,تخفٌض جزء من قٌمـة البضــاعة المشتراة غٌر المطـابقة للمـواصفات بدالً من ردهـا ٌسمى فً دفاتر المشتري,,B,مردودات المشترٌات,مسموحات المشترٌات,خصم مسموح به,مسموحات المبٌعات,,0
7194,Egypt,Social Science,Accounting,Univ,أى من أنواع الخصم التالٌة ال ٌسجل فً الدفاتر المحاسبٌة,,B,الخصم النقدي,الخصم التجاري,خصم الكمٌة,كل ما سبق,,0
7195,Egypt,Social Science,Accounting,Univ,قاعدة محاسبٌة تقضىً بؤن المعلومات الواردة فً القوائم المالٌة ٌجب أن تبنى على حقائق فعلٌة وتكون قابلة للتحقق وبعٌدة عن التحٌز والتقدٌر الشخصً,,C,الثبات,األهمٌة النسبٌة,الموضوعٌة,الشىء مما سبق,,0
7196,Egypt,Social Science,Accounting,Univ,وسٌلة تعتمد علٌها المنشؤة فى توصٌل المعلومات المحاسبٌة إلً الأطــراف المهتمة لمساعدتهم فً إتخاذ القرار,,B,مٌزان المراجعة,القوائم المالٌة,دفتر األستاذ,الشىء مما سبق,,0
