ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
14246,Jordan,Social Science,Civics,Middle,‏المؤسسات الدستورية في الاردن هي‎,,A,التنفيذية والتشريعية والقضائية,التنفيذية والصحافة والتشريعية,الصحافة والتشريعية والقضائية, التنفيذية والتشريعية والدينية,,0
14247,Jordan,Social Science,Civics,Middle,تتكون السلطة التنفيذية في الأردن من,,A,مؤسسة العرش ومجلس الوزراء,مجلس الأمة والملك,المحاكم ومجلس الوزراء,مؤسسة العرش ومجلس الامة,,0
14248,Jordan,Social Science,Civics,Middle,طبيعة نظام الحكم في الأردن حسب دستور عام ۱۹۵۲,,D,مدني ملكي وراثي,ملكي وراثي نيابي,مدني نيابي ملكي, نيابي ملكي وارثي,,0
14249,Jordan,Social Science,Civics,Middle,حسب المادة ۲۸ من الدستور الاردني عرش المملكة الأردنية الهاشمية وراثي في أسرة الملك :,,B,الحسين بن علي,عبد الله الأول بن الحسين,فيصل بن الحسين,الحسين ين طلال,,0
14250,Jordan,Social Science,Civics,Middle,تستند وراثة العرش في الأردن  حسب المادة ۲۸ من الدستور إذا لم يكن لمن له ولآية الملك عقب تتتقل إلى,,B,أكبر أبنائه,أكبر أخوته,أكبر أبناء الأبن الأكبر, أكبر أبناء أخوته,,0
14251,Jordan,Social Science,Civics,Middle, واحدة مما يلي لاا تعد من صلاحيات جلالة الملك في المملكة | لاردنية الهاشمية ,,A,اقتراح مشاريع القوانين,اختيار ولي العهد وتعيين نائب الملك,المصادقة على القوانين بعد إقرارها من مجلس الأمة,إبرام المعاهدات والإتفاقيات وإعلان الحرب والسلم,,0
14252,Jordan,Social Science,Civics,Middle,تتم الدعوة إلى إجراء الانتخابات النيابية ودعوة مجلس الأمة للاجتماع من خلال,,C,رئيس الوزراء,رئيس مجلس النواب,الملك,رئيس مجلس الاعيان,,0
14253,Jordan,Social Science,Civics,Middle,يقوم جلالة الملك بالمصادقة على القوائين بعد إقرارها من :,,A,مجلس الأمة,مجلس النواب,مجلس الاعيان,مجلس الوزارء,,0
14254,Jordan,Social Science,Civics,Middle,‏واحدة ممايلي من صلاحيات الملك في المملكة الأدرنية الهاشمية‎,,B,إعداد الموازنة العامة,‏إصندان لقاب الشرؤف ومنح الأوسمة والرتب العسكري .,إقرار الموازنة العامة,مساءلة الحكومة حول الأمور العامة واستكُوابها ومراقبة أدائها,,0
14255,Jordan,Social Science,Civics,Middle, المجلس صاحب الولآية العامة على شؤون الدولة كافة هو ب,,D,المجلس القضائي الاردني,مجلس النواب,مجلس الاعيان,مجلس الوزارء,,0
14256,Jordan,Social Science,Civics,Middle,‏يؤدي أعضاء مجلس الوزراء اليمين الدستورية أمام,,A,جلالة الملك,مجلس الأمة,رئيس الوزراء,المجلس القكتائي,,0
14257,Jordan,Social Science,Civics,Middle,عند تشكيل مجلس الوزراء يجب أن يتقدم ببيائه الوزاري إلى مجلس النواب للحَصول على الثقة خلال,,A,شهر,شهرين,ثلاثة أ شهر, أ سيو ع,,0
14258,Jordan,Social Science,Civics,Middle,‏السلطة التي تختص بإعداد الموازتة العامة للدولة هي‎,,B,التشريعية,التنفيذية,ديوان المحاسبة,ديوان المحاسبة,,0
14259,Jordan,Social Science,Civics,Middle, ‏السلطة التي تختص باقترا ح مشاريع القوانين هي,,B,التشريعية,التنفيذية,ديوان المحاسبة,المحاكم,,0
14260,Jordan,Social Science,Civics,Middle, تغيير الحكومات في ا لأردن إذا الوزارة فقدت انسجامها وقدرتها على بذل مزيد من العطاء يتم عن طريق,,A,جلالة الملك,رئيس مجلس الاعيان,رئيس الوزراء,رئيس مجلس النواب,,0
14261,Jordan,Social Science,Civics,Middle,واحدة‏ مما يلي ليست من مهام مجلس الوزارء الاردني,,D,إدارة شؤون الدولة الداخلية والخارجية,تنفيذ السياسة العامة للدولة على الصعيدين الداخلي والخارجي,اقتراح مشاريع القوانين ورفعها إلى مجلس الأمة,إقرار الموازنة العامة للدولة,,0
14262,Jordan,Social Science,Civics,Middle,واحدة مما يلي من مهام مجلس الوزارء الاردني ,,A, إدارة شؤون الدولة الداخلية والخارجية جميعها,تطبيق القوانين والأنظمة,تشريع القوانين المنظمة لحياة الشعب,إقرار الموازنة العامة للدولة,,0
14263,Jordan,Social Science,Civics,Middle,تناط السلطة التشريعية فى المملكة الإردنية الهاشمية ب,,C,الملك والمجلس القضائي الاردني,الملك ومجلس الوزراء ,الملك ومجلس الأمة,مجلس النواب,,0
14264,Jordan,Social Science,Civics,Middle,يتألف مجلس ا لأمة من,,A,مجلس النواب ومجلس الاعيان,الملك ومجلس النواب,مجلس الوزار ومجلس النواب,الملك ومجلس الاعيان,,0
14265,Jordan,Social Science,Civics,Middle,المجلس الذي يتولى السلطة التشريعية في الأردن هو‎,,D,المجلس القضائي الاردني,مجلس الوزراء,مجلس المحافظة,مجلس ‎١‏ لأمة,,0
14266,Jordan,Social Science,Civics,Middle,مصدر السلطات في الأردن حسب الدستور الاردني :,,D,الملك,السلطة القضائية,السلطة التنفيذية,الأمة,,0
14267,Jordan,Social Science,Civics,Middle,السلطة التي تختص بإقرار الموازنه العامة للدولة هي,,A,التشريعية,التنفيذية,القضائية,المحاكم,,0
14268,Jordan,Social Science,Civics,Middle,السلطة التي تختص باقترا ح مشاريع القوانين هي,,B,التشريعية,التنفيذية,القضائية,المحخاكم,,0
14269,Jordan,Social Science,Civics,Middle, الأعضاء المنتخبين بالاقتراع السري من الشعب بمقتضى قانون انتخاب معمول به هم :,,B,الاعيان,النواب,الوزراء,القضاة,,0
14270,Jordan,Social Science,Civics,Middle,المجلس الذي يتكون من أعضاء يعينهم الملك بإرادة ملكية هو :,,B,مجلس النواب,مجلس الاعيان,المجلس ‎١‏ لقضائي,مجلسى الأمة,,0
14271,Jordan,Social Science,Civics,Middle,المجلس الذي لا يتجاوز عددهم بما فيهم الرئيس عن نصف عدد أعضاء مجلس النواب هم,,B,مجلس المحافظة,مجلس الاعيان,المجلس القضاني,مجلسى الأمة,,0
14272,Jordan,Social Science,Civics,Middle,واحدة مما يلى من اختصاصات السلطة التشريعية,,D,إدارة شؤون الدولة الداخلية والخارجية,تنفيذ السياسة العامة للدولة على الصعيدين الداخلي والخارجي,اقتراح مشاريع القوانين ورفعها إلى مجلس الأمة,إقرار الموازنة العامة للدولة,,0
14273,Jordan,Social Science,Civics,Middle,واحدة مما يلي ليست من اختصاصات السلطة التشريعية,,A,إعداد الموازنة العامة,مساءلة الحكومة حول الأمور العامة, تشريع القوانين المنظمة لحياة الشعب,إقرار الموازنة العامة للدولة,,0
14274,Jordan,Social Science,Civics,Middle,متح الثقة للحكومة من اختصاصات السلطة,,B,التنفيذية,التشريعية,القضائية,العسكرية,,0
14275,Jordan,Social Science,Civics,Middle,السلطة المستتقلة عن السلطات الأخرى وتصدر أحكامها وفقاً للقوانين المعمول بها في المملكة هي السلطة :,,C,التنفيذية,التشريعية,القضائية,العسكرية,,0
14277,Jordan,Social Science,Civics,Middle,السلطة آلتي تطبق القانون الذي ينظم سلوك الأفراد وعلاقتهم بالدولة وببعضهم بعضاً,,C,التشريعية,التنفيذية,القضائية,السياسية,,0
14278,Jordan,Social Science,Civics,Middle,يتمتع القضاة بموجب الدستور الأردتي باستقلالية ثامة حيث يعينون ويرقون ويعزلون في المحاكم النظامية بقرار يصدر عن :,,C,السلطة التنفيذية,المحاكم الخاصة,المجلس ‎القضائي,المحكمة الدستورية,,0
14279,Jordan,Social Science,Civics,Middle,القرارات التي تصدر عن المجلس القضائي يجب ان تقترن بإرادة ملكية سامية وفقاً لأحكام,,A,الدستور,القانون,الأنظمة,التعليمات,,0
14280,Jordan,Social Science,Civics,Middle,من المحاكم الدينية في الأردن :,,A,المحاكم الشرعية,المحاكم الخاصة,المحاكم النظامية,محكمة الصلح,,0
14281,Jordan,Social Science,Civics,Middle,الذي يمثل قمة هرم السلطة القضائية في الاردن ويجسد مع مجلس الأمة والوزراء السلطات,,C,المحاكم الشرعية, المحاكم الخاصة, الملجلس القضائي الاردني,قاضي القضاة,,0
14282,Jordan,Social Science,Civics,Middle,واحدة مما يلي من اختصاصات السلطة القضائية وهي ,,B,إدارة شؤون الدولة الداخلية والخارجية,حماية المجتمعغ من الجريمة والانحراف,اقتراح مشاريع القوانين ورفعها إلى مجلس الأمة,إقز ا|الموازنة العامة للدولة,,0
14283,Jordan,Social Science,Civics,Middle,اختصاصات السلطة القضائية في الآردن ما عدا :,,D,ضمان الحقوق والحريات التي تقوم على أساس سيادة القانون,تطتيق القِواتيئ والأنظمة,الفصل بين المتخاصمين» وتحقيق الاستقرار والتوازن داخل المجتمع.,إقرار المونة العامة,,0
14284,Jordan,Social Science,Civics,Middle,واحدة مما يلي ليست من أنواع المحاكم في الأردن وهي :,,B,المحاكم النظامية .,المحاكم التشريعية, المحاكم الخاصة.,المحاكم الدينية,,0
14285,Jordan,Social Science,Civics,Middle,عدد المجالس ‏التشريعية التي شكلت في المدة ما بين عام ۱۹۲۹ م حتى الاستقلال عام ۱۹٤٦:,,C,ثلاثة,أربعة,خمسة,ستة,,0
14286,Jordan,Social Science,Civics,Middle,من مميزات المجالس التشريعية في الآردن بين عام ۱۹۲۹م‏ حتى الاستقلال عام ۱۹٤٦‏ م التفاعل مع القضايا :,,D,الوطنية والعالمية,العالمية والاقليمية,المحلية والوطنية,الوطنية والقومية,,0
14287,Jordan,Social Science,Civics,Middle,مميزات المجالسن التشريعية بين عام  ۱۹۲۹ م حتى الاستقلال غام ۱۹٤٦‏ م ما عدا ؟,,D,النشاط السياسي,مراقبة أداء الحكومات ومساءلتها,التفاعل مع القضايا الوطنية والقومية,حل الأزمات العربية والدولية,,0
14288,Jordan,Social Science,Civics,Middle,تمت إعادة النظر في قانون الانتخاب في الاردن بعد :,,D,مشروع المملكة العربية المتحدة ۱۹۷۲,الاتحاد العربي الهاشمي ۱۹٥۸,"نكسة فلسطين ۱۹٦۷
",وحدة الضفتين ۱۹٥۰,,0
14289,Jordan,Social Science,Civics,Middle,وحدة الضفتين عام,,C,۱۹٤٦,۱۹٦۷,۱۹٥۰, ۱۹٤۸,,0
14290,Jordan,Social Science,Civics,Middle," ‏شكلت أول حكومة حزبية ائتلافية في الاردن عام ‎ ۱۹٥٦
 وكانت برئاسة‎",,C,رشيد طليع, ابراهيم هاشم,سليمان النابلسي,توفيق ابو الهدى,,0
14291,Jordan,Social Science,Civics,Middle,تم تشكيل أول حكومة ائتلافية في الأردن عام 1952 وقد عرفت باسم الحكومة :,,C,القومية,المحلية,الوطنية,العربية,,0
14292,Jordan,Social Science,Civics,Middle,المجلس النيابي الذي شهد أكبر كتلة ائتلافية حزبية ‏ في الأردن هو المجلس :,,B,الثالث,الخامس,الثاني,السادس,,0
14293,Jordan,Social Science,Civics,Middle,من أبرز الصيغ البديلة للمجلس النيابي الأردني بعد حرب عام 1927,,C,المجلس التشريعي الاردني,مشروع المجلس الوطني الاردني,مشروع الاتحاد الوطني الأردني, المجلس القضائي,,0
14294,Jordan,Social Science,Civics,Middle,بدا الأردن يقطف ثمار التطور الدستوري والنيابي عندما أجريت انتخابات عام,,D,1950,1929,1984,1956,,0
14295,Jordan,Social Science,Civics,Middle,آخر المجالس النيابية في عهد الملك الحسين بن طلال المجلس النيابي‎,,C,الحادي عشر,الثاني عشر,الثالث عشر,الخامس عشر,,0
14296,Jordan,Social Science,Civics,Middle,عندما يمتلك كل ناخب عدداً من الأصوات يساوي عدد المقاعد المخصصة لذائرته الانتخابية يسمى النظام ‏الانتخابي ب,,D,نظام الصوت الواحد, الانتخاب بالأغلبية,الانتخاب الفردي,القائمة النسبية المفتوحة,,0
14297,Jordan,Social Science,Civics,Middle,تأسست الهيئة المتستقلة للانتخابات عام :,,B,1991,2012,2011,2014,,0
14298,Jordan,Social Science,Civics,Middle,عودة الحياة الديمقراطية وانتحخاب المجلس النيابي الحادي عشر عام,,C,1956,1999,1988,1989,,0
