ID,Country,Group,Subject,Level,Question,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
3426,,Other,General Knowledge,,ما هي كمية السكر في حصة من اللبن خالي الدسم؟,,C,2 ملاعق سكر صغيرة,3.5 ملاعق سكر صغيرة,6.5 ملاعق سكر صغيرة,,,0
3427,,Other,General Knowledge,,ما هي كمية السكر في الفول المعلب؟,,C,7 ملاعق سكر صغيرة,10 ملاعق سكر صغيرة,5 ملاعق سكر صغيرة,,,0
3428,,Other,General Knowledge,,ما هي كمية السكر في ملعقة طعام من بودرة الحساء الجاهز؟,,C,لا يوجد فيها سكر,3 ملاعق سكر صغيرة,1 ملعقة سكر صغيرة,,,0
3429,,Other,General Knowledge,,ما هي كمية السكر في ملعقة طعام من الكاتشاب؟,,C,لا يحتوي الكاتشاب على سكر,0.5 ملعقة صغيرة من السكر,1 ملعقة سكر صغيرة,,,0
3430,,Other,General Knowledge,,ما هي كمية السكر في قطعتين من البسكويت الدايجستف؟,,A,1 ملعقة سكر صغيرة,2 ملاعق سكر صغيرة,4 ملاعق سكر صغيرة,,,0
3431,,Other,General Knowledge,,ما هي كمية السكر في ملعقة طعام من النوتيلا؟,,B,10 ملاعق سكر صغيرة,5 ملاعق سكر صغيرة,3 ملاعق سكر صغيرة,,,0
3432,,Other,General Knowledge,,ما هي كمية السكر في حصة من الشاي المثلج؟,,C,12 ملعقة سكر صغيرة,10 ملاعق سكر صغيرة,8 ملاعق سكر صغيرة,,,0
3433,,Other,General Knowledge,,ما هي كمية السكر في لوح بروتين؟,,C,3.5 ملاعق سكر صغيرة,5.5 ملاعق سكر صغيرة,7.5 ملاعق سكر صغيرة,,,0
3434,,Other,General Knowledge,,ما هي كمية السكر في قطعتين متوسطتين من الخبز الأبيض؟,,C,5 ملاعق سكر صغيرة,3 ملاعق سكر صغيرة,1 ملعقة سكر صغيرة,,,0
3435,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ شرارة:,,B,شعاع,ما يتطاير من النار,نظرة,ذكاء,,0
3436,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ نفحة:,,C,خصلة شعر,ضمّة,هبّة,ضربة,,0
3437,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ كرى:,,A,نعاس,كرم,دبيب النمل,مشي,,0
3438,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ هباء:,,A,غبار,فراغ,ريح خفيفة,عطية,,0
3439,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ هفّاف:,,C,سريع,نظيف,رقيق شفاف,عِطر,,0
3440,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ أملود:,,E,أذن,عنق,سوار,غصن,لين,0
3441,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ رَهْو:,,A,سير سهل,تلة,رغوة,رمل الصحراء,,0
3442,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ زَغَبَ:,,C,برعم,قشور,صغار الشعر,ظفر,,0
3443,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ أناة:,,D,ساقية,لحظة,أنين,تمهُّل,,0
3444,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ بُلجة:,,B,عين,نقاوة ما بين الحاجبين,أنف,أمل,,0
3445,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ رشْف:,,A,مصّ وشرب,رمش,إيماء,كتابة,,0
3446,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ خَوْد:,,A,شابة ناعمة,خوف,وجه,زهرة,,0
3447,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ نضْح:,,A,رشح,لطف,نضارة,كلام قليل,,0
3448,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ هنيمة:,,A,صوت خفي,نوم خفيف,حلم,هناء,,0
3449,,Other,General Knowledge,,ماذا تعني هذه الكلمة؟ لمحة:,,A,نظرة عاجلة,مسحة,فكرة,لمعة,,0
